time	V(N003,N006)	V(N018,N020)	I(D12)
5.100807441765429e-007	8.611866e+001	2.091010e+001	6.761876e-002
5.105314239278735e-007	8.610617e+001	2.090086e+001	6.666281e-002
5.114327834307517e-007	8.608753e+001	2.088934e+001	6.506581e-002
5.132355024362913e-007	8.605543e+001	2.087514e+001	6.252789e-002
5.147586719636468e-007	8.602660e+001	2.086672e+001	6.077187e-002
5.149263997453971e-007	8.602264e+001	2.086598e+001	6.060360e-002
5.149683316909431e-007	8.602146e+001	2.086581e+001	6.056421e-002
5.150521955818183e-007	8.601890e+001	2.086549e+001	6.048768e-002
5.152199233635687e-007	8.601284e+001	2.086483e+001	6.033722e-002
5.155553789270694e-007	8.599576e+001	2.086356e+001	6.004030e-002
5.158471841971209e-007	8.597409e+001	2.086250e+001	5.978804e-002
5.158817421892226e-007	8.596963e+001	2.086238e+001	5.975860e-002
5.159508581734258e-007	8.595699e+001	2.086214e+001	5.970163e-002
5.159681371695851e-007	8.595272e+001	2.086208e+001	5.968812e-002
5.160026951616867e-007	8.592132e+001	2.086196e+001	5.965904e-002
5.160718111458899e-007	8.574730e+001	2.086176e+001	5.959255e-002
5.160890901420492e-007	8.560490e+001	2.086175e+001	5.957267e-002
5.161236481341508e-007	8.509341e+001	2.086174e+001	5.952546e-002
5.161322876321220e-007	8.491139e+001	2.086174e+001	5.951339e-002
5.161495666282812e-007	8.442122e+001	2.086173e+001	5.949298e-002
5.161841246203829e-007	8.329726e+001	2.086172e+001	5.945677e-002
5.161873644322305e-007	8.317282e+001	2.086172e+001	5.945364e-002
5.161880393929688e-007	8.314623e+001	2.086171e+001	5.945397e-002
5.161883093773075e-007	8.313505e+001	2.086172e+001	5.945294e-002
5.162039343872740e-007	8.237134e+001	2.086170e+001	5.945643e-002
5.172039343871813e-007	3.995004e+001	2.086001e+001	6.004713e-002
5.182039343870886e-007	2.171434e+001	2.085787e+001	6.048648e-002
5.182195593870804e-007	2.166625e+001	2.085782e+001	6.049515e-002
5.182234656371867e-007	2.166606e+001	2.085781e+001	6.049695e-002
5.192234656370941e-007	2.165226e+001	2.085595e+001	6.066295e-002
5.202234656370014e-007	2.164149e+001	2.085414e+001	6.081356e-002
5.212234656369087e-007	2.163373e+001	2.085241e+001	6.094022e-002
5.232234656369402e-007	2.162237e+001	2.084914e+001	6.112333e-002
5.272234656370032e-007	2.160606e+001	2.084308e+001	6.125979e-002
5.352234656369123e-007	2.158230e+001	2.083185e+001	6.093340e-002
5.452234656368529e-007	2.155836e+001	2.081837e+001	5.977055e-002
5.552234656367935e-007	2.153668e+001	2.080468e+001	5.796926e-002
5.652234656367342e-007	2.151505e+001	2.079006e+001	5.572235e-002
5.752234656366748e-007	2.149238e+001	2.077399e+001	5.319047e-002
5.852234656366154e-007	2.146806e+001	2.075610e+001	5.047683e-002
5.952234656365560e-007	2.144171e+001	2.073612e+001	4.764902e-002
6.052234656364966e-007	2.141305e+001	2.071383e+001	4.475233e-002
6.152234656364372e-007	2.138187e+001	2.068905e+001	4.181841e-002
6.352234656363184e-007	2.131123e+001	2.063134e+001	3.592502e-002
6.452234656362590e-007	2.127148e+001	2.059816e+001	3.299716e-002
6.552234656361997e-007	2.122861e+001	2.056192e+001	3.009935e-002
6.652234656361403e-007	2.118249e+001	2.052250e+001	2.724296e-002
6.852234656360215e-007	2.108007e+001	2.043377e+001	2.169938e-002
6.952234656359621e-007	2.102355e+001	2.038423e+001	1.903557e-002
7.052234656359027e-007	2.096335e+001	2.033113e+001	1.646079e-002
7.152234656358433e-007	2.089938e+001	2.027437e+001	1.398960e-002
7.252234656357839e-007	2.083152e+001	2.021387e+001	1.163821e-002
7.352234656357246e-007	2.075969e+001	2.014955e+001	9.424988e-003
7.452234656356652e-007	2.068377e+001	2.008132e+001	7.370554e-003
7.552234656356058e-007	2.060368e+001	2.000912e+001	5.497567e-003
7.652234656355464e-007	2.051931e+001	1.993287e+001	3.830437e-003
7.752234656354870e-007	2.043056e+001	1.985249e+001	2.393866e-003
7.852234656354276e-007	2.033734e+001	1.976793e+001	1.209826e-003
7.952234656353682e-007	2.023952e+001	1.967913e+001	2.926500e-004
8.052234656353088e-007	2.013703e+001	1.958601e+001	-3.573838e-004
8.152234656352494e-007	2.002976e+001	1.948853e+001	-7.602600e-004
8.252234656351901e-007	1.991761e+001	1.938662e+001	-9.584019e-004
8.352234656351307e-007	1.980049e+001	1.928019e+001	-1.010094e-003
8.452234656350713e-007	1.967833e+001	1.916920e+001	-9.748054e-004
8.552234656350119e-007	1.955105e+001	1.905357e+001	-8.991591e-004
8.652234656349525e-007	1.941858e+001	1.893320e+001	-8.121341e-004
8.752234656348931e-007	1.928083e+001	1.880804e+001	-7.286888e-004
8.852234656348337e-007	1.913776e+001	1.867801e+001	-6.555513e-004
8.952234656347743e-007	1.898928e+001	1.854301e+001	-5.950143e-004
9.052234656347150e-007	1.883534e+001	1.840299e+001	-5.468787e-004
9.152234656346556e-007	1.867588e+001	1.825786e+001	-5.097338e-004
9.252234656345962e-007	1.851081e+001	1.810756e+001	-4.817541e-004
9.352234656345368e-007	1.834009e+001	1.795201e+001	-4.609983e-004
9.452234656344774e-007	1.816365e+001	1.779113e+001	-4.456693e-004
9.552234656344180e-007	1.798143e+001	1.762487e+001	-4.342731e-004
9.752234656342992e-007	1.759943e+001	1.727589e+001	-4.185285e-004
1.005223465634121e-006	1.698161e+001	1.671033e+001	-4.022224e-004
1.015223465634062e-006	1.676350e+001	1.651032e+001	-3.980877e-004
1.035223465633943e-006	1.630870e+001	1.609270e+001	-3.910394e-004
1.045223465633884e-006	1.607191e+001	1.587497e+001	-3.878975e-004
1.055223465633824e-006	1.582878e+001	1.565120e+001	-3.848889e-004
1.065223465633765e-006	1.557928e+001	1.542136e+001	-3.819818e-004
1.085223465633646e-006	1.506096e+001	1.494318e+001	-3.763733e-004
1.125223465633408e-006	1.394576e+001	1.391142e+001	-3.654918e-004
1.145223465633290e-006	1.334822e+001	1.335701e+001	-3.601171e-004
1.155223465633230e-006	1.303932e+001	1.307001e+001	-3.574339e-004
1.165223465633171e-006	1.272362e+001	1.277641e+001	-3.547510e-004
1.175223465633112e-006	1.240110e+001	1.247617e+001	-3.520744e-004
1.195223465632993e-006	1.173540e+001	1.185561e+001	-3.466989e-004
1.225223465632815e-006	1.068479e+001	1.087394e+001	-3.385953e-004
1.245223465632696e-006	9.949348e+000	1.018519e+001	-3.331545e-004
1.255223465632636e-006	9.571045e+000	9.830418e+000	-3.304183e-004
1.265223465632577e-006	9.185638e+000	9.468674e+000	-3.276816e-004
1.275223465632518e-006	8.793133e+000	9.099915e+000	-3.249355e-004
1.285223465632458e-006	8.393486e+000	8.724125e+000	-3.221695e-004
1.295223465632399e-006	7.986691e+000	8.341278e+000	-3.194070e-004
1.305223465632339e-006	7.572727e+000	7.951332e+000	-3.166461e-004
1.315223465632280e-006	7.151573e+000	7.554283e+000	-3.138698e-004
1.325223465632221e-006	6.723221e+000	7.150093e+000	-3.110881e-004
1.335223465632161e-006	6.287659e+000	6.738754e+000	-3.082994e-004
1.355223465632043e-006	5.394821e+000	5.894501e+000	-3.026862e-004
1.375223465631924e-006	4.473015e+000	5.021400e+000	-2.970270e-004
1.405223465631746e-006	3.035858e+000	3.657379e+000	-2.884442e-004
1.419509179917375e-006	2.328464e+000	2.984857e+000	-2.843201e-004
1.433794894203004e-006	1.606274e+000	2.297437e+000	-2.801740e-004
1.448080608488634e-006	8.692884e-001	1.595119e+000	-2.760056e-004
1.462366322774263e-006	1.175064e-001	8.779023e-001	-2.718151e-004
1.476652037059893e-006	-6.490717e-001	1.457876e-001	-2.676025e-004
1.490937751345522e-006	-1.430446e+000	-6.012252e-001	-2.633676e-004
1.505223465631152e-006	-2.226616e+000	-1.363136e+000	-2.591106e-004
1.515223465631092e-006	-2.792633e+000	-1.905327e+000	-2.561192e-004
1.525223465631033e-006	-3.365845e+000	-2.454803e+000	-2.531180e-004
1.545223465630914e-006	-4.533752e+000	-3.575562e+000	-2.470867e-004
1.565223465630795e-006	-5.730194e+000	-4.725311e+000	-2.410172e-004
1.575223465630736e-006	-6.339043e+000	-5.311020e+000	-2.379690e-004
1.585223465630677e-006	-6.954964e+000	-5.903938e+000	-2.349066e-004
1.595223465630617e-006	-7.577919e+000	-6.504044e+000	-2.318370e-004
1.605223465630558e-006	-8.207886e+000	-7.111298e+000	-2.287655e-004
1.615223465630498e-006	-8.844833e+000	-7.725700e+000	-2.256844e-004
1.625223465630439e-006	-9.488724e+000	-8.347221e+000	-2.225936e-004
1.645223465630320e-006	-1.079723e+001	-9.611496e+000	-2.163917e-004
1.665223465630202e-006	-1.213313e+001	-1.090391e+001	-2.101589e-004
1.675223465630142e-006	-1.281125e+001	-1.156059e+001	-2.070345e-004
1.685223465630083e-006	-1.349611e+001	-1.222421e+001	-2.039197e-004
1.695223465630023e-006	-1.418767e+001	-1.289474e+001	-2.008285e-004
1.705223465629964e-006	-1.488586e+001	-1.357211e+001	-1.977461e-004
1.715223465629905e-006	-1.559067e+001	-1.425632e+001	-1.946515e-004
1.725223465629845e-006	-1.630202e+001	-1.494729e+001	-1.915494e-004
1.745223465629726e-006	-1.774422e+001	-1.634942e+001	-1.853321e-004
1.755223465629667e-006	-1.847496e+001	-1.706048e+001	-1.822159e-004
1.765223465629608e-006	-1.921206e+001	-1.777814e+001	-1.790903e-004
1.775223465629548e-006	-1.995546e+001	-1.850235e+001	-1.759617e-004
1.785223465629489e-006	-2.070511e+001	-1.923307e+001	-1.728338e-004
1.795223465629429e-006	-2.146095e+001	-1.997024e+001	-1.697003e-004
1.815223465629311e-006	-2.299097e+001	-2.146371e+001	-1.634244e-004
1.825223465629251e-006	-2.376502e+001	-2.221991e+001	-1.602772e-004
1.835223465629192e-006	-2.454502e+001	-2.298232e+001	-1.571275e-004
1.845223465629133e-006	-2.533090e+001	-2.375091e+001	-1.539820e-004
1.855223465629073e-006	-2.612260e+001	-2.452559e+001	-1.508332e-004
1.865223465629014e-006	-2.692006e+001	-2.530632e+001	-1.476809e-004
1.895223465628836e-006	-2.934622e+001	-2.768410e+001	-1.382040e-004
1.915223465628717e-006	-3.099110e+001	-2.929826e+001	-1.318970e-004
1.925223465628657e-006	-3.182155e+001	-3.011381e+001	-1.287410e-004
1.935223465628598e-006	-3.265724e+001	-3.093492e+001	-1.255808e-004
1.945223465628539e-006	-3.349808e+001	-3.176151e+001	-1.224217e-004
1.955223465628479e-006	-3.434400e+001	-3.259348e+001	-1.192690e-004
1.965223465628420e-006	-3.519491e+001	-3.343079e+001	-1.161166e-004
1.975223465628360e-006	-3.605073e+001	-3.427333e+001	-1.129645e-004
1.985223465628301e-006	-3.691137e+001	-3.512103e+001	-1.098107e-004
1.995223465628242e-006	-3.777676e+001	-3.597380e+001	-1.066601e-004
2.005223465628182e-006	-3.864679e+001	-3.683155e+001	-1.035155e-004
2.015223465628123e-006	-3.952138e+001	-3.769421e+001	-1.003723e-004
2.025223465628064e-006	-4.040044e+001	-3.856169e+001	-9.723238e-005
2.045223465627945e-006	-4.217162e+001	-4.031071e+001	-9.095880e-005
2.055223465627885e-006	-4.306354e+001	-4.119207e+001	-8.783098e-005
2.065223465627826e-006	-4.395955e+001	-4.207789e+001	-8.470720e-005
2.075223465627767e-006	-4.485956e+001	-4.296804e+001	-8.158594e-005
2.085223465627707e-006	-4.576347e+001	-4.386245e+001	-7.846905e-005
2.095223465627648e-006	-4.667117e+001	-4.476101e+001	-7.536136e-005
2.105223465627588e-006	-4.758258e+001	-4.566363e+001	-7.225915e-005
2.135223465627410e-006	-5.033794e+001	-4.839477e+001	-6.298311e-005
2.155223465627291e-006	-5.219143e+001	-5.023390e+001	-5.683812e-005
2.175223465627173e-006	-5.405715e+001	-5.208672e+001	-5.071980e-005
2.185223465627113e-006	-5.499434e+001	-5.301799e+001	-4.767633e-005
2.205223465626995e-006	-5.687678e+001	-5.488969e+001	-4.161437e-005
2.225223465626876e-006	-5.876923e+001	-5.677283e+001	-3.558779e-005
2.235223465626816e-006	-5.971892e+001	-5.771842e+001	-3.259195e-005
2.245223465626757e-006	-6.067075e+001	-5.866651e+001	-2.960630e-005
2.255223465626698e-006	-6.162461e+001	-5.961699e+001	-2.663029e-005
2.265223465626638e-006	-6.258039e+001	-6.056973e+001	-2.366623e-005
2.285223465626519e-006	-6.449718e+001	-6.248155e+001	-1.777658e-005
2.305223465626401e-006	-6.642015e+001	-6.440096e+001	-1.193616e-005
2.315223465626341e-006	-6.738364e+001	-6.536320e+001	-9.035664e-006
2.325223465626282e-006	-6.834829e+001	-6.632696e+001	-6.150149e-006
2.335223465626223e-006	-6.931399e+001	-6.729211e+001	-3.278490e-006
2.345223465626163e-006	-7.028059e+001	-6.825852e+001	-4.214655e-007
2.355223465626104e-006	-7.124798e+001	-6.922606e+001	2.420557e-006
2.365223465626044e-006	-7.221601e+001	-7.019460e+001	5.246784e-006
2.375223465625985e-006	-7.318457e+001	-7.116401e+001	8.057520e-006
