Freq.	I(Ls1)	I(Ls2)
1.47447447447447e+05	(-2.95020343965139e+01dB,-7.77996429229533e+01°)	(-2.95020343965139e+01dB,-7.77996429229533e+01°)
1.47547547547547e+05	(-2.94739943829119e+01dB,-7.82587592370317e+01°)	(-2.94739943829119e+01dB,-7.82587592370317e+01°)
1.47647647647647e+05	(-2.94461569519699e+01dB,-7.87194539027997e+01°)	(-2.94461569519699e+01dB,-7.87194539027997e+01°)
1.47747747747747e+05	(-2.94185258894918e+01dB,-7.91817294646741e+01°)	(-2.94185258894918e+01dB,-7.91817294646741e+01°)
1.47847847847847e+05	(-2.93911050320524e+01dB,-7.96455880619389e+01°)	(-2.93911050320524e+01dB,-7.96455880619389e+01°)
1.47947947947947e+05	(-2.93638982662422e+01dB,-8.01110314158270e+01°)	(-2.93638982662422e+01dB,-8.01110314158270e+01°)
1.48048048048047e+05	(-2.93369095278458e+01dB,-8.05780608165376e+01°)	(-2.93369095278458e+01dB,-8.05780608165376e+01°)
1.48148148148147e+05	(-2.93101428009530e+01dB,-8.10466771102044e+01°)	(-2.93101428009530e+01dB,-8.10466771102044e+01°)
1.48248248248248e+05	(-2.92836021170011e+01dB,-8.15168806858253e+01°)	(-2.92836021170011e+01dB,-8.15168806858253e+01°)
1.48348348348348e+05	(-2.92572915537461e+01dB,-8.19886714621730e+01°)	(-2.92572915537461e+01dB,-8.19886714621730e+01°)
1.48448448448448e+05	(-2.92312152341623e+01dB,-8.24620488746968e+01°)	(-2.92312152341623e+01dB,-8.24620488746968e+01°)
1.48548548548548e+05	(-2.92053773252687e+01dB,-8.29370118624336e+01°)	(-2.92053773252687e+01dB,-8.29370118624336e+01°)
1.48648648648648e+05	(-2.91797820368801e+01dB,-8.34135588549474e+01°)	(-2.91797820368801e+01dB,-8.34135588549474e+01°)
1.48748748748748e+05	(-2.91544336202833e+01dB,-8.38916877593070e+01°)	(-2.91544336202833e+01dB,-8.38916877593070e+01°)
1.48848848848848e+05	(-2.91293363668358e+01dB,-8.43713959471296e+01°)	(-2.91293363668358e+01dB,-8.43713959471296e+01°)
1.48948948948948e+05	(-2.91044946064858e+01dB,-8.48526802417012e+01°)	(-2.91044946064858e+01dB,-8.48526802417012e+01°)
1.49049049049048e+05	(-2.90799127062144e+01dB,-8.53355369051973e+01°)	(-2.90799127062144e+01dB,-8.53355369051973e+01°)
1.49149149149148e+05	(-2.90555950683970e+01dB,-8.58199616260212e+01°)	(-2.90555950683970e+01dB,-8.58199616260212e+01°)
1.49249249249249e+05	(-2.90315461290842e+01dB,-8.63059495062853e+01°)	(-2.90315461290843e+01dB,-8.63059495062853e+01°)
1.49349349349349e+05	(-2.90077703562017e+01dB,-8.67934950494492e+01°)	(-2.90077703562017e+01dB,-8.67934950494492e+01°)
1.49449449449449e+05	(-2.89842722476675e+01dB,-8.72825921481451e+01°)	(-2.89842722476675e+01dB,-8.72825921481451e+01°)
1.49549549549549e+05	(-2.89610563294280e+01dB,-8.77732340722051e+01°)	(-2.89610563294280e+01dB,-8.77732340722051e+01°)
1.49649649649649e+05	(-2.89381271534107e+01dB,-8.82654134569199e+01°)	(-2.89381271534107e+01dB,-8.82654134569199e+01°)
1.49749749749749e+05	(-2.89154892953944e+01dB,-8.87591222915484e+01°)	(-2.89154892953944e+01dB,-8.87591222915484e+01°)
1.49849849849849e+05	(-2.88931473527969e+01dB,-8.92543519081037e+01°)	(-2.88931473527969e+01dB,-8.92543519081037e+01°)
1.49949949949949e+05	(-2.88711059423804e+01dB,-8.97510929704402e+01°)	(-2.88711059423804e+01dB,-8.97510929704402e+01°)
1.50050050050049e+05	(-2.88493696978746e+01dB,-9.02493354636672e+01°)	(-2.88493696978746e+01dB,-9.02493354636672e+01°)
1.50150150150149e+05	(-2.88279432675179e+01dB,-9.07490686839129e+01°)	(-2.88279432675179e+01dB,-9.07490686839129e+01°)
1.50250250250250e+05	(-2.88068313115187e+01dB,-9.12502812284651e+01°)	(-2.88068313115187e+01dB,-9.12502812284651e+01°)
1.50350350350350e+05	(-2.87860384994355e+01dB,-9.17529609863170e+01°)	(-2.87860384994355e+01dB,-9.17529609863170e+01°)
1.50450450450450e+05	(-2.87655695074790e+01dB,-9.22570951291386e+01°)	(-2.87655695074790e+01dB,-9.22570951291386e+01°)
1.50550550550550e+05	(-2.87454290157360e+01dB,-9.27626701027070e+01°)	(-2.87454290157360e+01dB,-9.27626701027070e+01°)
1.50650650650650e+05	(-2.87256217053176e+01dB,-9.32696716188162e+01°)	(-2.87256217053176e+01dB,-9.32696716188162e+01°)
1.50750750750750e+05	(-2.87061522554323e+01dB,-9.37780846476963e+01°)	(-2.87061522554323e+01dB,-9.37780846476963e+01°)
1.50850850850850e+05	(-2.86870253403867e+01dB,-9.42878934109667e+01°)	(-2.86870253403867e+01dB,-9.42878934109667e+01°)
1.50950950950950e+05	(-2.86682456265159e+01dB,-9.47990813751521e+01°)	(-2.86682456265159e+01dB,-9.47990813751520e+01°)
1.51051051051050e+05	(-2.86498177690455e+01dB,-9.53116312457828e+01°)	(-2.86498177690455e+01dB,-9.53116312457828e+01°)
1.51151151151150e+05	(-2.86317464088875e+01dB,-9.58255249621110e+01°)	(-2.86317464088875e+01dB,-9.58255249621110e+01°)
1.51251251251251e+05	(-2.86140361693737e+01dB,-9.63407436924639e+01°)	(-2.86140361693737e+01dB,-9.63407436924639e+01°)
1.51351351351351e+05	(-2.85966916529292e+01dB,-9.68572678302610e+01°)	(-2.85966916529292e+01dB,-9.68572678302610e+01°)
1.51451451451451e+05	(-2.85797174376888e+01dB,-9.73750769907197e+01°)	(-2.85797174376888e+01dB,-9.73750769907197e+01°)
1.51551551551551e+05	(-2.85631180740596e+01dB,-9.78941500082735e+01°)	(-2.85631180740596e+01dB,-9.78941500082735e+01°)
1.51651651651651e+05	(-2.85468980812354e+01dB,-9.84144649347249e+01°)	(-2.85468980812354e+01dB,-9.84144649347249e+01°)
1.51751751751751e+05	(-2.85310619436631e+01dB,-9.89359990381564e+01°)	(-2.85310619436631e+01dB,-9.89359990381564e+01°)
1.51851851851851e+05	(-2.85156141074691e+01dB,-9.94587288026232e+01°)	(-2.85156141074691e+01dB,-9.94587288026232e+01°)
1.51951951951951e+05	(-2.85005589768475e+01dB,-9.99826299286433e+01°)	(-2.85005589768474e+01dB,-9.99826299286434e+01°)
1.52052052052051e+05	(-2.84859009104146e+01dB,-1.00507677334510e+02°)	(-2.84859009104146e+01dB,-1.00507677334510e+02°)
