Freq.	I(Ls1)	I(Ls2)
1.04704704704705e+05	(-4.66123825249975e+01dB,4.59048987116412e+01°)	(-5.06367150870712e+01dB,2.88150924894450e+01°)
1.04804804804805e+05	(-4.65593595013200e+01dB,4.57710187330069e+01°)	(-5.05933763302663e+01dB,2.86918780531153e+01°)
1.04904904904905e+05	(-4.65063200952624e+01dB,4.56365888619650e+01°)	(-5.05500350953689e+01dB,2.85683679776341e+01°)
1.05005005005005e+05	(-4.64532644004614e+01dB,4.55016064775117e+01°)	(-5.05066913257075e+01dB,2.84445609561871e+01°)
1.05105105105105e+05	(-4.64001925135033e+01dB,4.53660689507284e+01°)	(-5.04633449655086e+01dB,2.83204556734862e+01°)
1.05205205205205e+05	(-4.63471045339534e+01dB,4.52299736448769e+01°)	(-5.04199959599142e+01dB,2.81960508057483e+01°)
1.05305305305305e+05	(-4.62940005643847e+01dB,4.50933179154979e+01°)	(-5.03766442549999e+01dB,2.80713450206752e+01°)
1.05405405405405e+05	(-4.62408807104079e+01dB,4.49560991105120e+01°)	(-5.03332897977920e+01dB,2.79463369774353e+01°)
1.05505505505505e+05	(-4.61877450807006e+01dB,4.48183145703245e+01°)	(-5.02899325362861e+01dB,2.78210253266454e+01°)
1.05605605605606e+05	(-4.61345937870371e+01dB,4.46799616279328e+01°)	(-5.02465724194654e+01dB,2.76954087103562e+01°)
1.05705705705706e+05	(-4.60814269443181e+01dB,4.45410376090370e+01°)	(-5.02032093973189e+01dB,2.75694857620369e+01°)
1.05805805805806e+05	(-4.60282446706005e+01dB,4.44015398321544e+01°)	(-5.01598434208604e+01dB,2.74432551065633e+01°)
1.05905905905906e+05	(-4.59750470871280e+01dB,4.42614656087361e+01°)	(-5.01164744421477e+01dB,2.73167153602059e+01°)
1.06006006006006e+05	(-4.59218343183605e+01dB,4.41208122432884e+01°)	(-5.00731024143014e+01dB,2.71898651306214e+01°)
1.06106106106106e+05	(-4.58686064920049e+01dB,4.39795770334964e+01°)	(-5.00297272915244e+01dB,2.70627030168441e+01°)
1.06206206206206e+05	(-4.58153637390451e+01dB,4.38377572703519e+01°)	(-4.99863490291219e+01dB,2.69352276092801e+01°)
1.06306306306306e+05	(-4.57621061937727e+01dB,4.36953502382842e+01°)	(-4.99429675835210e+01dB,2.68074374897034e+01°)
1.06406406406406e+05	(-4.57088339938174e+01dB,4.35523532152947e+01°)	(-4.98995829122910e+01dB,2.66793312312527e+01°)
1.06506506506506e+05	(-4.56555472801777e+01dB,4.34087634730953e+01°)	(-4.98561949741633e+01dB,2.65509073984317e+01°)
1.06606606606607e+05	(-4.56022461972515e+01dB,4.32645782772503e+01°)	(-4.98128037290528e+01dB,2.64221645471101e+01°)
1.06706706706707e+05	(-4.55489308928670e+01dB,4.31197948873219e+01°)	(-4.97694091380776e+01dB,2.62931012245266e+01°)
1.06806806806807e+05	(-4.54956015183135e+01dB,4.29744105570199e+01°)	(-4.97260111635808e+01dB,2.61637159692948e+01°)
1.06906906906907e+05	(-4.54422582283721e+01dB,4.28284225343542e+01°)	(-4.96826097691513e+01dB,2.60340073114106e+01°)
1.07007007007007e+05	(-4.53889011813469e+01dB,4.26818280617932e+01°)	(-4.96392049196455e+01dB,2.59039737722614e+01°)
1.07107107107107e+05	(-4.53355305390959e+01dB,4.25346243764237e+01°)	(-4.95957965812084e+01dB,2.57736138646382e+01°)
1.07207207207207e+05	(-4.52821464670621e+01dB,4.23868087101166e+01°)	(-4.95523847212960e+01dB,2.56429260927493e+01°)
1.07307307307307e+05	(-4.52287491343044e+01dB,4.22383782896957e+01°)	(-4.95089693086968e+01dB,2.55119089522370e+01°)
1.07407407407407e+05	(-4.51753387135286e+01dB,4.20893303371113e+01°)	(-4.94655503135544e+01dB,2.53805609301958e+01°)
1.07507507507507e+05	(-4.51219153811190e+01dB,4.19396620696173e+01°)	(-4.94221277073896e+01dB,2.52488805051933e+01°)
1.07607607607607e+05	(-4.50684793171687e+01dB,4.17893706999529e+01°)	(-4.93787014631234e+01dB,2.51168661472942e+01°)
1.07707707707708e+05	(-4.50150307055116e+01dB,4.16384534365285e+01°)	(-4.93352715550993e+01dB,2.49845163180854e+01°)
1.07807807807808e+05	(-4.49615697337525e+01dB,4.14869074836159e+01°)	(-4.92918379591065e+01dB,2.48518294707053e+01°)
1.07907907907908e+05	(-4.49080965932990e+01dB,4.13347300415429e+01°)	(-4.92484006524032e+01dB,2.47188040498743e+01°)
1.08008008008008e+05	(-4.48546114793920e+01dB,4.11819183068925e+01°)	(-4.92049596137396e+01dB,2.45854384919285e+01°)
1.08108108108108e+05	(-4.48011145911369e+01dB,4.10284694727059e+01°)	(-4.91615148233817e+01dB,2.44517312248568e+01°)
1.08208208208208e+05	(-4.47476061315345e+01dB,4.08743807286913e+01°)	(-4.91180662631347e+01dB,2.43176806683393e+01°)
