time	I(Ls1)	I(Ls2)
1.960662763357936e-06	2.745759e-02	2.631369e-01
1.970662763357877e-06	5.097417e-02	2.796638e-01
1.980662763357817e-06	7.470019e-02	2.963794e-01
1.990662763357758e-06	9.866095e-02	3.133058e-01
2.000662763357699e-06	1.228554e-01	3.304419e-01
2.010662763357639e-06	1.472820e-01	3.477862e-01
2.020662763357580e-06	1.719390e-01	3.653375e-01
2.030662763357520e-06	1.968246e-01	3.830941e-01
2.040662763357461e-06	2.219367e-01	4.010546e-01
2.050662763357402e-06	2.472733e-01	4.192173e-01
2.060662763357342e-06	2.728323e-01	4.375806e-01
2.070662763357283e-06	2.986115e-01	4.561427e-01
2.080662763357223e-06	3.246085e-01	4.749019e-01
2.090662763357164e-06	3.508211e-01	4.938564e-01
2.100662763357105e-06	3.772470e-01	5.130042e-01
2.110662763357045e-06	4.038835e-01	5.323436e-01
2.120662763356986e-06	4.307284e-01	5.518725e-01
2.130662763356926e-06	4.577789e-01	5.715889e-01
2.140662763356867e-06	4.850324e-01	5.914906e-01
2.150662763356808e-06	5.124865e-01	6.115757e-01
2.160662763356748e-06	5.401382e-01	6.318419e-01
2.170662763356689e-06	5.679848e-01	6.522871e-01
2.180662763356630e-06	5.960236e-01	6.729088e-01
2.190662763356570e-06	6.242516e-01	6.937050e-01
2.200662763356511e-06	6.526660e-01	7.146732e-01
2.210662763356451e-06	6.812637e-01	7.358109e-01
2.220662763356392e-06	7.100418e-01	7.571157e-01
2.240662763356273e-06	7.681267e-01	8.002169e-01
2.260662763356154e-06	8.268955e-01	8.439559e-01
2.280662763356036e-06	8.863224e-01	8.883118e-01
2.300662763355917e-06	9.463809e-01	9.332625e-01
2.330662763355739e-06	1.037593e+00	1.001754e+00
2.360662763355561e-06	1.130068e+00	1.071453e+00
2.390662763355382e-06	1.223708e+00	1.142277e+00
2.420662763355204e-06	1.318411e+00	1.214140e+00
2.466377049069219e-06	1.465589e+00	1.326359e+00
2.512091334783233e-06	1.613547e+00	1.439546e+00
2.557805620497247e-06	1.762287e+00	1.553703e+00
2.603519906211261e-06	1.911807e+00	1.668828e+00
2.649234191925276e-06	2.062107e+00	1.784923e+00
2.694948477639289e-06	2.213189e+00	1.901987e+00
2.740662763353304e-06	2.365051e+00	2.020019e+00
2.756377049067496e-06	2.416767e+00	2.060239e+00
2.772091334781688e-06	2.468321e+00	2.100352e+00
2.787805620495881e-06	2.519714e+00	2.140359e+00
2.803519906210073e-06	2.570945e+00	2.180259e+00
2.819234191924266e-06	2.622015e+00	2.220052e+00
2.834948477638458e-06	2.672923e+00	2.259740e+00
2.850662763352651e-06	2.723670e+00	2.299320e+00
2.870662763352532e-06	2.787858e+00	2.349397e+00
2.900662763352354e-06	2.883702e+00	2.424236e+00
2.930662763352175e-06	2.978125e+00	2.497951e+00
2.960662763351997e-06	3.071126e+00	2.570543e+00
2.990662763351819e-06	3.162706e+00	2.642010e+00
3.020662763351641e-06	3.252864e+00	2.712355e+00
3.050662763351463e-06	3.341601e+00	2.781575e+00
3.080662763351285e-06	3.428917e+00	2.849672e+00
3.099234191922603e-06	3.481885e+00	2.890934e+00
3.117805620493921e-06	3.534004e+00	2.931494e+00
3.136377049065240e-06	3.585276e+00	2.971354e+00
3.154948477636558e-06	3.635698e+00	3.010513e+00
3.173519906207876e-06	3.685273e+00	3.048971e+00
3.192091334779195e-06	3.733999e+00	3.086729e+00
3.210662763350513e-06	3.781876e+00	3.123785e+00
3.224948477636142e-06	3.818025e+00	3.151721e+00
3.239234191921772e-06	3.853554e+00	3.179137e+00
3.253519906207401e-06	3.888462e+00	3.206032e+00
3.267805620493030e-06	3.922750e+00	3.232406e+00
3.282091334778660e-06	3.956417e+00	3.258260e+00
3.296377049064289e-06	3.989465e+00	3.283593e+00
3.310662763349919e-06	4.021892e+00	3.308406e+00
3.340662763349741e-06	4.087714e+00	3.358590e+00
3.359234191921059e-06	4.126997e+00	3.388422e+00
3.377805620492377e-06	4.164994e+00	3.417161e+00
3.396377049063695e-06	4.201705e+00	3.444807e+00
3.414948477635014e-06	4.237131e+00	3.471360e+00
3.433519906206332e-06	4.271270e+00	3.496820e+00
3.452091334777650e-06	4.304123e+00	3.521186e+00
3.470662763348968e-06	4.335690e+00	3.544460e+00
3.490662763348850e-06	4.368056e+00	3.568130e+00
3.516377049062983e-06	4.407420e+00	3.596647e+00
3.542091334777116e-06	4.443830e+00	3.622630e+00
3.567805620491249e-06	4.477287e+00	3.646078e+00
3.593519906205382e-06	4.507792e+00	3.666992e+00
3.619234191919515e-06	4.535343e+00	3.685371e+00
3.644948477633648e-06	4.559941e+00	3.701216e+00
3.670662763347781e-06	4.581587e+00	3.714527e+00
3.693519906204788e-06	4.598113e+00	3.724019e+00
3.716377049061795e-06	4.612000e+00	3.731233e+00
3.739234191918802e-06	4.623249e+00	3.736169e+00
3.762091334775809e-06	4.631859e+00	3.738828e+00
3.784948477632816e-06	4.637830e+00	3.739209e+00
3.807805620489823e-06	4.641163e+00	3.737312e+00
