Freq.	V(N002,N005)
1.00000000000000e+05	(-2.20467531939869e+01dB,-1.23394360340850e+02°)
1.00100100100100e+05	(-2.19973279563220e+01dB,-1.23473254703796e+02°)
1.00200200200200e+05	(-2.19478780928359e+01dB,-1.23552410633886e+02°)
1.00300300300300e+05	(-2.18984034200237e+01dB,-1.23631829541735e+02°)
1.00400400400400e+05	(-2.18489037541349e+01dB,-1.23711512847985e+02°)
1.00500500500500e+05	(-2.17993789111732e+01dB,-1.23791461983394e+02°)
1.00600600600601e+05	(-2.17498287068962e+01dB,-1.23871678388928e+02°)
1.00700700700701e+05	(-2.17002529568157e+01dB,-1.23952163515848e+02°)
1.00800800800801e+05	(-2.16506514761979e+01dB,-1.24032918825803e+02°)
1.00900900900901e+05	(-2.16010240800631e+01dB,-1.24113945790926e+02°)
1.01001001001001e+05	(-2.15513705831863e+01dB,-1.24195245893922e+02°)
1.01101101101101e+05	(-2.15016908000974e+01dB,-1.24276820628166e+02°)
1.01201201201201e+05	(-2.14519845450812e+01dB,-1.24358671497797e+02°)
1.01301301301301e+05	(-2.14022516321782e+01dB,-1.24440800017817e+02°)
1.01401401401401e+05	(-2.13524918751847e+01dB,-1.24523207714184e+02°)
1.01501501501501e+05	(-2.13027050876535e+01dB,-1.24605896123914e+02°)
1.01601601601602e+05	(-2.12528910828943e+01dB,-1.24688866795181e+02°)
1.01701701701702e+05	(-2.12030496739746e+01dB,-1.24772121287413e+02°)
1.01801801801802e+05	(-2.11531806737200e+01dB,-1.24855661171400e+02°)
1.01901901901902e+05	(-2.11032838947154e+01dB,-1.24939488029392e+02°)
1.02002002002002e+05	(-2.10533591493053e+01dB,-1.25023603455204e+02°)
1.02102102102102e+05	(-2.10034062495954e+01dB,-1.25108009054321e+02°)
1.02202202202202e+05	(-2.09534250074529e+01dB,-1.25192706444005e+02°)
1.02302302302302e+05	(-2.09034152345080e+01dB,-1.25277697253400e+02°)
1.02402402402402e+05	(-2.08533767421549e+01dB,-1.25362983123642e+02°)
1.02502502502502e+05	(-2.08033093415529e+01dB,-1.25448565707966e+02°)
1.02602602602603e+05	(-2.07532128436278e+01dB,-1.25534446671821e+02°)
1.02702702702703e+05	(-2.07030870590734e+01dB,-1.25620627692976e+02°)
1.02802802802803e+05	(-2.06529317983526e+01dB,-1.25707110461638e+02°)
1.02902902902903e+05	(-2.06027468716992e+01dB,-1.25793896680561e+02°)
1.03003003003003e+05	(-2.05525320891197e+01dB,-1.25880988065166e+02°)
1.03103103103103e+05	(-2.05022872603946e+01dB,-1.25968386343654e+02°)
1.03203203203203e+05	(-2.04520121950804e+01dB,-1.26056093257126e+02°)
1.03303303303303e+05	(-2.04017067025116e+01dB,-1.26144110559700e+02°)
1.03403403403403e+05	(-2.03513705918026e+01dB,-1.26232440018633e+02°)
1.03503503503503e+05	(-2.03010036718497e+01dB,-1.26321083414440e+02°)
1.03603603603604e+05	(-2.02506057513336e+01dB,-1.26410042541021e+02°)
1.03703703703704e+05	(-2.02001766387214e+01dB,-1.26499319205780e+02°)
1.03803803803804e+05	(-2.01497161422690e+01dB,-1.26588915229754e+02°)
