Freq.	I(Ls1)	I(Ls2)
1.00000000000000e+05	(-4.94635756083484e+01dB,4.80672146721223e+01°)	(-5.10913131462802e+01dB,3.99625702456221e+01°)
1.00100100100100e+05	(-4.94130440276304e+01dB,4.79519504238982e+01°)	(-5.10449893821625e+01dB,3.98461944930826e+01°)
1.00200200200200e+05	(-4.93625020170282e+01dB,4.78362672785113e+01°)	(-5.09986653541825e+01dB,3.97294920516490e+01°)
1.00300300300300e+05	(-4.93119495898357e+01dB,4.77201633718613e+01°)	(-5.09523410449162e+01dB,3.96124617146003e+01°)
1.00400400400400e+05	(-4.92613867610275e+01dB,4.76036368337349e+01°)	(-5.09060164378214e+01dB,3.94951022710024e+01°)
1.00500500500500e+05	(-4.92108135472730e+01dB,4.74866857878388e+01°)	(-5.08596915172456e+01dB,3.93774125057100e+01°)
1.00600600600601e+05	(-4.91602299669513e+01dB,4.73693083518334e+01°)	(-5.08133662684327e+01dB,3.92593911993689e+01°)
1.00700700700701e+05	(-4.91096360401654e+01dB,4.72515026373675e+01°)	(-5.07670406775307e+01dB,3.91410371284177e+01°)
1.00800800800801e+05	(-4.90590317887579e+01dB,4.71332667501146e+01°)	(-5.07207147315995e+01dB,3.90223490650914e+01°)
1.00900900900901e+05	(-4.90084172363246e+01dB,4.70145987898101e+01°)	(-5.06743884186181e+01dB,3.89033257774242e+01°)
1.01001001001001e+05	(-4.89577924082304e+01dB,4.68954968502905e+01°)	(-5.06280617274922e+01dB,3.87839660292544e+01°)
1.01101101101101e+05	(-4.89071573316238e+01dB,4.67759590195324e+01°)	(-5.05817346480625e+01dB,3.86642685802280e+01°)
1.01201201201201e+05	(-4.88565120354522e+01dB,4.66559833796940e+01°)	(-5.05354071711119e+01dB,3.85442321858042e+01°)
1.01301301301301e+05	(-4.88058565504766e+01dB,4.65355680071578e+01°)	(-5.04890792883735e+01dB,3.84238555972608e+01°)
1.01401401401401e+05	(-4.87551909092875e+01dB,4.64147109725739e+01°)	(-5.04427509925389e+01dB,3.83031375617005e+01°)
1.01501501501501e+05	(-4.87045151463194e+01dB,4.62934103409050e+01°)	(-5.03964222772658e+01dB,3.81820768220577e+01°)
1.01601601601602e+05	(-4.86538292978666e+01dB,4.61716641714734e+01°)	(-5.03500931371864e+01dB,3.80606721171056e+01°)
1.01701701701702e+05	(-4.86031334020985e+01dB,4.60494705180081e+01°)	(-5.03037635679151e+01dB,3.79389221814642e+01°)
1.01801801801802e+05	(-4.85524274990750e+01dB,4.59268274286943e+01°)	(-5.02574335660574e+01dB,3.78168257456090e+01°)
1.01901901901902e+05	(-4.85017116307621e+01dB,4.58037329462238e+01°)	(-5.02111031292177e+01dB,3.76943815358800e+01°)
1.02002002002002e+05	(-4.84509858410472e+01dB,4.56801851078471e+01°)	(-5.01647722560077e+01dB,3.75715882744918e+01°)
1.02102102102102e+05	(-4.84002501757552e+01dB,4.55561819454268e+01°)	(-5.01184409460551e+01dB,3.74484446795435e+01°)
1.02202202202202e+05	(-4.83495046826639e+01dB,4.54317214854923e+01°)	(-5.00721092000119e+01dB,3.73249494650308e+01°)
1.02302302302302e+05	(-4.82987494115196e+01dB,4.53068017492966e+01°)	(-5.00257770195629e+01dB,3.72011013408568e+01°)
1.02402402402402e+05	(-4.82479844140532e+01dB,4.51814207528736e+01°)	(-4.99794444074347e+01dB,3.70768990128453e+01°)
1.02502502502502e+05	(-4.81972097439960e+01dB,4.50555765070980e+01°)	(-4.99331113674041e+01dB,3.69523411827538e+01°)
1.02602602602603e+05	(-4.81464254570953e+01dB,4.49292670177459e+01°)	(-4.98867779043068e+01dB,3.68274265482872e+01°)
1.02702702702703e+05	(-4.80956316111306e+01dB,4.48024902855576e+01°)	(-4.98404440240467e+01dB,3.67021538031133e+01°)
1.02802802802803e+05	(-4.80448282659297e+01dB,4.46752443063013e+01°)	(-4.97941097336042e+01dB,3.65765216368774e+01°)
1.02902902902903e+05	(-4.79940154833844e+01dB,4.45475270708392e+01°)	(-4.97477750410458e+01dB,3.64505287352191e+01°)
1.03003003003003e+05	(-4.79431933274665e+01dB,4.44193365651945e+01°)	(-4.97014399555326e+01dB,3.63241737797891e+01°)
1.03103103103103e+05	(-4.78923618642445e+01dB,4.42906707706205e+01°)	(-4.96551044873297e+01dB,3.61974554482675e+01°)
1.03203203203203e+05	(-4.78415211618990e+01dB,4.41615276636711e+01°)	(-4.96087686478153e+01dB,3.60703724143816e+01°)
1.03303303303303e+05	(-4.77906712907392e+01dB,4.40319052162733e+01°)	(-4.95624324494900e+01dB,3.59429233479266e+01°)
1.03403403403403e+05	(-4.77398123232192e+01dB,4.39018013958011e+01°)	(-4.95160959059860e+01dB,3.58151069147847e+01°)
