Freq.	V(N002,N005)
1.00000000000000e+05	(-1.97408870687032e+01dB,-1.35868673052408e+02°)
1.00100100100100e+05	(-1.96922617121053e+01dB,-1.35986652595807e+02°)
1.00200200200200e+05	(-1.96436320631554e+01dB,-1.36105019664483e+02°)
1.00300300300300e+05	(-1.95949981385851e+01dB,-1.36223775818720e+02°)
1.00400400400400e+05	(-1.95463599565427e+01dB,-1.36342922623097e+02°)
1.00500500500500e+05	(-1.94977175366037e+01dB,-1.36462461646449e+02°)
1.00600600600601e+05	(-1.94490708997807e+01dB,-1.36582394461837e+02°)
1.00700700700701e+05	(-1.94004200685344e+01dB,-1.36702722646513e+02°)
1.00800800800801e+05	(-1.93517650667841e+01dB,-1.36823447781885e+02°)
1.00900900900901e+05	(-1.93031059199180e+01dB,-1.36944571453478e+02°)
1.01001001001001e+05	(-1.92544426548043e+01dB,-1.37066095250900e+02°)
1.01101101101101e+05	(-1.92057752998012e+01dB,-1.37188020767804e+02°)
1.01201201201201e+05	(-1.91571038847684e+01dB,-1.37310349601844e+02°)
1.01301301301301e+05	(-1.91084284410770e+01dB,-1.37433083354640e+02°)
1.01401401401401e+05	(-1.90597490016207e+01dB,-1.37556223631735e+02°)
1.01501501501501e+05	(-1.90110656008268e+01dB,-1.37679772042550e+02°)
1.01601601601602e+05	(-1.89623782746663e+01dB,-1.37803730200347e+02°)
1.01701701701702e+05	(-1.89136870606653e+01dB,-1.37928099722177e+02°)
1.01801801801802e+05	(-1.88649919979158e+01dB,-1.38052882228839e+02°)
1.01901901901902e+05	(-1.88162931270862e+01dB,-1.38178079344834e+02°)
1.02002002002002e+05	(-1.87675904904328e+01dB,-1.38303692698313e+02°)
1.02102102102102e+05	(-1.87188841318099e+01dB,-1.38429723921036e+02°)
1.02202202202202e+05	(-1.86701740966817e+01dB,-1.38556174648312e+02°)
1.02302302302302e+05	(-1.86214604321322e+01dB,-1.38683046518958e+02°)
1.02402402402402e+05	(-1.85727431868772e+01dB,-1.38810341175239e+02°)
1.02502502502502e+05	(-1.85240224112744e+01dB,-1.38938060262820e+02°)
1.02602602602603e+05	(-1.84752981573349e+01dB,-1.39066205430709e+02°)
1.02702702702703e+05	(-1.84265704787338e+01dB,-1.39194778331201e+02°)
1.02802802802803e+05	(-1.83778394308216e+01dB,-1.39323780619824e+02°)
1.02902902902903e+05	(-1.83291050706349e+01dB,-1.39453213955278e+02°)
1.03003003003003e+05	(-1.82803674569075e+01dB,-1.39583079999378e+02°)
1.03103103103103e+05	(-1.82316266500813e+01dB,-1.39713380416990e+02°)
1.03203203203203e+05	(-1.81828827123173e+01dB,-1.39844116875975e+02°)
1.03303303303303e+05	(-1.81341357075067e+01dB,-1.39975291047120e+02°)
1.03403403403403e+05	(-1.80853857012818e+01dB,-1.40106904604080e+02°)
1.03503503503503e+05	(-1.80366327610268e+01dB,-1.40238959223306e+02°)
1.03603603603604e+05	(-1.79878769558888e+01dB,-1.40371456583983e+02°)
1.03703703703704e+05	(-1.79391183567892e+01dB,-1.40504398367960e+02°)
1.03803803803804e+05	(-1.78903570364336e+01dB,-1.40637786259680e+02°)
1.03903903903904e+05	(-1.78415930693237e+01dB,-1.40771621946112e+02°)
1.04004004004004e+05	(-1.77928265317676e+01dB,-1.40905907116676e+02°)
1.04104104104104e+05	(-1.77440575018908e+01dB,-1.41040643463171e+02°)
1.04204204204204e+05	(-1.76952860596467e+01dB,-1.41175832679700e+02°)
1.04304304304304e+05	(-1.76465122868280e+01dB,-1.41311476462592e+02°)
1.04404404404404e+05	(-1.75977362670767e+01dB,-1.41447576510330e+02°)
1.04504504504504e+05	(-1.75489580858953e+01dB,-1.41584134523466e+02°)
1.04604604604605e+05	(-1.75001778306573e+01dB,-1.41721152204542e+02°)
1.04704704704705e+05	(-1.74513955906175e+01dB,-1.41858631258012e+02°)
1.04804804804805e+05	(-1.74026114569231e+01dB,-1.41996573390154e+02°)
1.04904904904905e+05	(-1.73538255226238e+01dB,-1.42134980308987e+02°)
1.05005005005005e+05	(-1.73050378826823e+01dB,-1.42273853724188e+02°)
1.05105105105105e+05	(-1.72562486339848e+01dB,-1.42413195346999e+02°)
1.05205205205205e+05	(-1.72074578753510e+01dB,-1.42553006890143e+02°)
1.05305305305305e+05	(-1.71586657075450e+01dB,-1.42693290067729e+02°)
1.05405405405405e+05	(-1.71098722332846e+01dB,-1.42834046595164e+02°)
1.05505505505505e+05	(-1.70610775572522e+01dB,-1.42975278189058e+02°)
