Freq.	V(N002,N005)
1.00000000000000e+05	(-2.27444725520331e+01dB,-1.20525070683291e+02°)
1.00100100100100e+05	(-2.26965958840701e+01dB,-1.20589589543671e+02°)
1.00200200200200e+05	(-2.26486945503758e+01dB,-1.20654296937339e+02°)
1.00300300300300e+05	(-2.26007683296840e+01dB,-1.20719193872890e+02°)
1.00400400400400e+05	(-2.25528169999562e+01dB,-1.20784281366633e+02°)
1.00500500500500e+05	(-2.25048403383751e+01dB,-1.20849560442663e+02°)
1.00600600600601e+05	(-2.24568381213377e+01dB,-1.20915032132946e+02°)
1.00700700700701e+05	(-2.24088101244476e+01dB,-1.20980697477395e+02°)
1.00800800800801e+05	(-2.23607561225088e+01dB,-1.21046557523953e+02°)
1.00900900900901e+05	(-2.23126758895180e+01dB,-1.21112613328677e+02°)
1.01001001001001e+05	(-2.22645691986578e+01dB,-1.21178865955819e+02°)
1.01101101101101e+05	(-2.22164358222894e+01dB,-1.21245316477909e+02°)
1.01201201201201e+05	(-2.21682755319451e+01dB,-1.21311965975845e+02°)
1.01301301301301e+05	(-2.21200880983216e+01dB,-1.21378815538977e+02°)
1.01401401401401e+05	(-2.20718732912722e+01dB,-1.21445866265192e+02°)
1.01501501501501e+05	(-2.20236308797996e+01dB,-1.21513119261009e+02°)
1.01601601601602e+05	(-2.19753606320487e+01dB,-1.21580575641663e+02°)
1.01701701701702e+05	(-2.19270623152986e+01dB,-1.21648236531198e+02°)
1.01801801801802e+05	(-2.18787356959559e+01dB,-1.21716103062561e+02°)
1.01901901901902e+05	(-2.18303805395463e+01dB,-1.21784176377694e+02°)
1.02002002002002e+05	(-2.17819966107078e+01dB,-1.21852457627627e+02°)
1.02102102102102e+05	(-2.17335836731825e+01dB,-1.21920947972574e+02°)
1.02202202202202e+05	(-2.16851414898092e+01dB,-1.21989648582035e+02°)
1.02302302302302e+05	(-2.16366698225157e+01dB,-1.22058560634886e+02°)
1.02402402402402e+05	(-2.15881684323108e+01dB,-1.22127685319487e+02°)
1.02502502502502e+05	(-2.15396370792767e+01dB,-1.22197023833774e+02°)
1.02602602602603e+05	(-2.14910755225613e+01dB,-1.22266577385371e+02°)
1.02702702702703e+05	(-2.14424835203699e+01dB,-1.22336347191682e+02°)
1.02802802802803e+05	(-2.13938608299574e+01dB,-1.22406334480008e+02°)
1.02902902902903e+05	(-2.13452072076207e+01dB,-1.22476540487643e+02°)
1.03003003003003e+05	(-2.12965224086898e+01dB,-1.22546966461987e+02°)
1.03103103103103e+05	(-2.12478061875207e+01dB,-1.22617613660654e+02°)
1.03203203203203e+05	(-2.11990582974866e+01dB,-1.22688483351579e+02°)
1.03303303303303e+05	(-2.11502784909700e+01dB,-1.22759576813137e+02°)
1.03403403403403e+05	(-2.11014665193543e+01dB,-1.22830895334248e+02°)
1.03503503503503e+05	(-2.10526221330158e+01dB,-1.22902440214498e+02°)
1.03603603603604e+05	(-2.10037450813152e+01dB,-1.22974212764252e+02°)
1.03703703703704e+05	(-2.09548351125891e+01dB,-1.23046214304773e+02°)
1.03803803803804e+05	(-2.09058919741419e+01dB,-1.23118446168341e+02°)
1.03903903903904e+05	(-2.08569154122373e+01dB,-1.23190909698375e+02°)
1.04004004004004e+05	(-2.08079051720896e+01dB,-1.23263606249553e+02°)
1.04104104104104e+05	(-2.07588609978551e+01dB,-1.23336537187939e+02°)
1.04204204204204e+05	(-2.07097826326241e+01dB,-1.23409703891109e+02°)
1.04304304304304e+05	(-2.06606698184114e+01dB,-1.23483107748276e+02°)
1.04404404404404e+05	(-2.06115222961483e+01dB,-1.23556750160420e+02°)
1.04504504504504e+05	(-2.05623398056735e+01dB,-1.23630632540422e+02°)
1.04604604604605e+05	(-2.05131220857247e+01dB,-1.23704756313193e+02°)
1.04704704704705e+05	(-2.04638688739293e+01dB,-1.23779122915810e+02°)
1.04804804804805e+05	(-2.04145799067959e+01dB,-1.23853733797653e+02°)
1.04904904904905e+05	(-2.03652549197051e+01dB,-1.23928590420544e+02°)
1.05005005005005e+05	(-2.03158936469010e+01dB,-1.24003694258884e+02°)
1.05105105105105e+05	(-2.02664958214817e+01dB,-1.24079046799798e+02°)
1.05205205205205e+05	(-2.02170611753905e+01dB,-1.24154649543278e+02°)
1.05305305305305e+05	(-2.01675894394070e+01dB,-1.24230504002330e+02°)
1.05405405405405e+05	(-2.01180803431376e+01dB,-1.24306611703119e+02°)
1.05505505505505e+05	(-2.00685336150066e+01dB,-1.24382974185122e+02°)
1.05605605605606e+05	(-2.00189489822467e+01dB,-1.24459593001279e+02°)
1.05705705705706e+05	(-1.99693261708903e+01dB,-1.24536469718149e+02°)
1.05805805805806e+05	(-1.99196649057596e+01dB,-1.24613605916060e+02°)
1.05905905905906e+05	(-1.98699649104575e+01dB,-1.24691003189277e+02°)
1.06006006006006e+05	(-1.98202259073583e+01dB,-1.24768663146155e+02°)
1.06106106106106e+05	(-1.97704476175984e+01dB,-1.24846587409305e+02°)
1.06206206206206e+05	(-1.97206297610663e+01dB,-1.24924777615758e+02°)
1.06306306306306e+05	(-1.96707720563939e+01dB,-1.25003235417135e+02°)
1.06406406406406e+05	(-1.96208742209461e+01dB,-1.25081962479812e+02°)
1.06506506506506e+05	(-1.95709359708121e+01dB,-1.25160960485099e+02°)
1.06606606606607e+05	(-1.95209570207951e+01dB,-1.25240231129407e+02°)
1.06706706706707e+05	(-1.94709370844030e+01dB,-1.25319776124431e+02°)
1.06806806806807e+05	(-1.94208758738387e+01dB,-1.25399597197328e+02°)
1.06906906906907e+05	(-1.93707730999902e+01dB,-1.25479696090895e+02°)
1.07007007007007e+05	(-1.93206284724211e+01dB,-1.25560074563762e+02°)
1.07107107107107e+05	(-1.92704416993608e+01dB,-1.25640734390570e+02°)
1.07207207207207e+05	(-1.92202124876945e+01dB,-1.25721677362167e+02°)
1.07307307307307e+05	(-1.91699405429534e+01dB,-1.25802905285801e+02°)
1.07407407407407e+05	(-1.91196255693051e+01dB,-1.25884419985311e+02°)
1.07507507507507e+05	(-1.90692672695433e+01dB,-1.25966223301328e+02°)
1.07607607607607e+05	(-1.90188653450783e+01dB,-1.26048317091475e+02°)
1.07707707707708e+05	(-1.89684194959266e+01dB,-1.26130703230575e+02°)
1.07807807807808e+05	(-1.89179294207014e+01dB,-1.26213383610850e+02°)
1.07907907907908e+05	(-1.88673948166023e+01dB,-1.26296360142137e+02°)
1.08008008008008e+05	(-1.88168153794052e+01dB,-1.26379634752101e+02°)
1.08108108108108e+05	(-1.87661908034525e+01dB,-1.26463209386447e+02°)
1.08208208208208e+05	(-1.87155207816431e+01dB,-1.26547086009140e+02°)
1.08308308308308e+05	(-1.86648050054220e+01dB,-1.26631266602632e+02°)
1.08408408408408e+05	(-1.86140431647705e+01dB,-1.26715753168080e+02°)
1.08508508508508e+05	(-1.85632349481959e+01dB,-1.26800547725581e+02°)
1.08608608608608e+05	(-1.85123800427217e+01dB,-1.26885652314402e+02°)
1.08708708708709e+05	(-1.84614781338769e+01dB,-1.26971068993213e+02°)
1.08808808808809e+05	(-1.84105289056865e+01dB,-1.27056799840330e+02°)
1.08908908908909e+05	(-1.83595320406611e+01dB,-1.27142846953956e+02°)
1.09009009009009e+05	(-1.83084872197866e+01dB,-1.27229212452425e+02°)
1.09109109109109e+05	(-1.82573941225144e+01dB,-1.27315898474455e+02°)
1.09209209209209e+05	(-1.82062524267508e+01dB,-1.27402907179399e+02°)
1.09309309309309e+05	(-1.81550618088474e+01dB,-1.27490240747502e+02°)
1.09409409409409e+05	(-1.81038219435906e+01dB,-1.27577901380164e+02°)
1.09509509509509e+05	(-1.80525325041916e+01dB,-1.27665891300204e+02°)
1.09609609609609e+05	(-1.80011931622763e+01dB,-1.27754212752127e+02°)
1.09709709709710e+05	(-1.79498035878750e+01dB,-1.27842868002398e+02°)
1.09809809809810e+05	(-1.78983634494128e+01dB,-1.27931859339720e+02°)
1.09909909909910e+05	(-1.78468724136990e+01dB,-1.28021189075312e+02°)
1.10010010010010e+05	(-1.77953301459174e+01dB,-1.28110859543199e+02°)
1.10110110110110e+05	(-1.77437363096162e+01dB,-1.28200873100495e+02°)
1.10210210210210e+05	(-1.76920905666982e+01dB,-1.28291232127702e+02°)
1.10310310310310e+05	(-1.76403925774102e+01dB,-1.28381939029008e+02°)
1.10410410410410e+05	(-1.75886420003342e+01dB,-1.28472996232584e+02°)
1.10510510510510e+05	(-1.75368384923763e+01dB,-1.28564406190901e+02°)
1.10610610610610e+05	(-1.74849817087580e+01dB,-1.28656171381033e+02°)
1.10710710710711e+05	(-1.74330713030055e+01dB,-1.28748294304979e+02°)
1.10810810810811e+05	(-1.73811069269408e+01dB,-1.28840777489981e+02°)
1.10910910910911e+05	(-1.73290882306713e+01dB,-1.28933623488855e+02°)
1.11011011011011e+05	(-1.72770148625808e+01dB,-1.29026834880319e+02°)
1.11111111111111e+05	(-1.72248864693195e+01dB,-1.29120414269330e+02°)
1.11211211211211e+05	(-1.71727026957949e+01dB,-1.29214364287427e+02°)
1.11311311311311e+05	(-1.71204631851624e+01dB,-1.29308687593076e+02°)
1.11411411411411e+05	(-1.70681675788156e+01dB,-1.29403386872025e+02°)
1.11511511511511e+05	(-1.70158155163776e+01dB,-1.29498464837659e+02°)
1.11611611611611e+05	(-1.69634066356916e+01dB,-1.29593924231364e+02°)
1.11711711711712e+05	(-1.69109405728120e+01dB,-1.29689767822897e+02°)
1.11811811811812e+05	(-1.68584169619954e+01dB,-1.29785998410762e+02°)
1.11911911911912e+05	(-1.68058354356918e+01dB,-1.29882618822583e+02°)
1.12012012012012e+05	(-1.67531956245361e+01dB,-1.29979631915501e+02°)
1.12112112112112e+05	(-1.67004971573393e+01dB,-1.30077040576558e+02°)
1.12212212212212e+05	(-1.66477396610804e+01dB,-1.30174847723099e+02°)
1.12312312312312e+05	(-1.65949227608977e+01dB,-1.30273056303177e+02°)
1.12412412412412e+05	(-1.65420460800811e+01dB,-1.30371669295961e+02°)
1.12512512512512e+05	(-1.64891092400637e+01dB,-1.30470689712158e+02°)
1.12612612612612e+05	(-1.64361118604143e+01dB,-1.30570120594434e+02°)
1.12712712712713e+05	(-1.63830535588298e+01dB,-1.30669965017844e+02°)
1.12812812812813e+05	(-1.63299339511274e+01dB,-1.30770226090273e+02°)
1.12912912912913e+05	(-1.62767526512377e+01dB,-1.30870906952877e+02°)
1.13013013013013e+05	(-1.62235092711972e+01dB,-1.30972010780536e+02°)
1.13113113113113e+05	(-1.61702034211420e+01dB,-1.31073540782313e+02°)
1.13213213213213e+05	(-1.61168347093005e+01dB,-1.31175500201920e+02°)
1.13313313313313e+05	(-1.60634027419877e+01dB,-1.31277892318187e+02°)
1.13413413413413e+05	(-1.60099071235983e+01dB,-1.31380720445551e+02°)
1.13513513513513e+05	(-1.59563474566012e+01dB,-1.31483987934537e+02°)
1.13613613613613e+05	(-1.59027233415337e+01dB,-1.31587698172258e+02°)
1.13713713713714e+05	(-1.58490343769962e+01dB,-1.31691854582920e+02°)
1.13813813813814e+05	(-1.57952801596469e+01dB,-1.31796460628329e+02°)
1.13913913913914e+05	(-1.57414602841971e+01dB,-1.31901519808420e+02°)
1.14014014014014e+05	(-1.56875743434066e+01dB,-1.32007035661779e+02°)
1.14114114114114e+05	(-1.56336219280797e+01dB,-1.32113011766181e+02°)
1.14214214214214e+05	(-1.55796026270611e+01dB,-1.32219451739141e+02°)
1.14314314314314e+05	(-1.55255160272325e+01dB,-1.32326359238463e+02°)
1.14414414414414e+05	(-1.54713617135097e+01dB,-1.32433737962809e+02°)
1.14514514514514e+05	(-1.54171392688392e+01dB,-1.32541591652269e+02°)
1.14614614614614e+05	(-1.53628482741967e+01dB,-1.32649924088941e+02°)
1.14714714714715e+05	(-1.53084883085844e+01dB,-1.32758739097530e+02°)
1.14814814814815e+05	(-1.52540589490299e+01dB,-1.32868040545941e+02°)
1.14914914914915e+05	(-1.51995597705852e+01dB,-1.32977832345898e+02°)
1.15015015015015e+05	(-1.51449903463255e+01dB,-1.33088118453558e+02°)
1.15115115115115e+05	(-1.50903502473500e+01dB,-1.33198902870147e+02°)
1.15215215215215e+05	(-1.50356390427814e+01dB,-1.33310189642601e+02°)
1.15315315315315e+05	(-1.49808562997674e+01dB,-1.33421982864216e+02°)
1.15415415415415e+05	(-1.49260015834818e+01dB,-1.33534286675311e+02°)
1.15515515515515e+05	(-1.48710744571267e+01dB,-1.33647105263906e+02°)
1.15615615615615e+05	(-1.48160744819350e+01dB,-1.33760442866400e+02°)
1.15715715715715e+05	(-1.47610012171739e+01dB,-1.33874303768273e+02°)
1.15815815815816e+05	(-1.47058542201480e+01dB,-1.33988692304788e+02°)
1.15915915915916e+05	(-1.46506330462049e+01dB,-1.34103612861715e+02°)
1.16016016016016e+05	(-1.45953372487392e+01dB,-1.34219069876060e+02°)
1.16116116116116e+05	(-1.45399663791993e+01dB,-1.34335067836807e+02°)
1.16216216216216e+05	(-1.44845199870935e+01dB,-1.34451611285673e+02°)
1.16316316316316e+05	(-1.44289976199978e+01dB,-1.34568704817881e+02°)
1.16416416416416e+05	(-1.43733988235635e+01dB,-1.34686353082933e+02°)
1.16516516516516e+05	(-1.43177231415268e+01dB,-1.34804560785409e+02°)
1.16616616616616e+05	(-1.42619701157182e+01dB,-1.34923332685771e+02°)
1.16716716716716e+05	(-1.42061392860735e+01dB,-1.35042673601184e+02°)
1.16816816816817e+05	(-1.41502301906453e+01dB,-1.35162588406351e+02°)
1.16916916916917e+05	(-1.40942423656154e+01dB,-1.35283082034359e+02°)
1.17017017017017e+05	(-1.40381753453090e+01dB,-1.35404159477540e+02°)
1.17117117117117e+05	(-1.39820286622086e+01dB,-1.35525825788349e+02°)
1.17217217217217e+05	(-1.39258018469699e+01dB,-1.35648086080255e+02°)
1.17317317317317e+05	(-1.38694944284387e+01dB,-1.35770945528644e+02°)
1.17417417417417e+05	(-1.38131059336685e+01dB,-1.35894409371744e+02°)
1.17517517517517e+05	(-1.37566358879398e+01dB,-1.36018482911555e+02°)
1.17617617617617e+05	(-1.37000838147800e+01dB,-1.36143171514808e+02°)
1.17717717717717e+05	(-1.36434492359855e+01dB,-1.36268480613927e+02°)
1.17817817817818e+05	(-1.35867316716438e+01dB,-1.36394415708017e+02°)
1.17917917917918e+05	(-1.35299306401583e+01dB,-1.36520982363862e+02°)
1.18018018018018e+05	(-1.34730456582736e+01dB,-1.36648186216942e+02°)
1.18118118118118e+05	(-1.34160762411025e+01dB,-1.36776032972470e+02°)
1.18218218218218e+05	(-1.33590219021546e+01dB,-1.36904528406442e+02°)
1.18318318318318e+05	(-1.33018821533664e+01dB,-1.37033678366705e+02°)
1.18418418418418e+05	(-1.32446565051329e+01dB,-1.37163488774047e+02°)
1.18518518518518e+05	(-1.31873444663411e+01dB,-1.37293965623301e+02°)
1.18618618618618e+05	(-1.31299455444049e+01dB,-1.37425114984469e+02°)
1.18718718718718e+05	(-1.30724592453021e+01dB,-1.37556943003866e+02°)
1.18818818818819e+05	(-1.30148850736131e+01dB,-1.37689455905280e+02°)
1.18918918918919e+05	(-1.29572225325615e+01dB,-1.37822659991159e+02°)
1.19019019019019e+05	(-1.28994711240564e+01dB,-1.37956561643804e+02°)
1.19119119119119e+05	(-1.28416303487378e+01dB,-1.38091167326600e+02°)
1.19219219219219e+05	(-1.27836997060225e+01dB,-1.38226483585252e+02°)
