Freq.	V(N002,N005)
1.00000000000000e+05	(-2.48477500277883e+01dB,-1.13495857021873e+02°)
1.00100100100100e+05	(-2.48006734008199e+01dB,-1.13541119028785e+02°)
1.00200200200200e+05	(-2.47535708727549e+01dB,-1.13586498849924e+02°)
1.00300300300300e+05	(-2.47064421942331e+01dB,-1.13631997111146e+02°)
1.00400400400400e+05	(-2.46592871147835e+01dB,-1.13677614443275e+02°)
1.00500500500500e+05	(-2.46121053828134e+01dB,-1.13723351482156e+02°)
1.00600600600601e+05	(-2.45648967455961e+01dB,-1.13769208868710e+02°)
1.00700700700701e+05	(-2.45176609492604e+01dB,-1.13815187248988e+02°)
1.00800800800801e+05	(-2.44703977387779e+01dB,-1.13861287274228e+02°)
1.00900900900901e+05	(-2.44231068579515e+01dB,-1.13907509600909e+02°)
1.01001001001001e+05	(-2.43757880494036e+01dB,-1.13953854890812e+02°)
1.01101101101101e+05	(-2.43284410545639e+01dB,-1.14000323811075e+02°)
1.01201201201201e+05	(-2.42810656136572e+01dB,-1.14046917034250e+02°)
1.01301301301301e+05	(-2.42336614656912e+01dB,-1.14093635238370e+02°)
1.01401401401401e+05	(-2.41862283484436e+01dB,-1.14140479106998e+02°)
1.01501501501501e+05	(-2.41387659984505e+01dB,-1.14187449329301e+02°)
1.01601601601602e+05	(-2.40912741509926e+01dB,-1.14234546600099e+02°)
1.01701701701702e+05	(-2.40437525400834e+01dB,-1.14281771619940e+02°)
1.01801801801802e+05	(-2.39962008984555e+01dB,-1.14329125095153e+02°)
1.01901901901902e+05	(-2.39486189575479e+01dB,-1.14376607737922e+02°)
1.02002002002002e+05	(-2.39010064474929e+01dB,-1.14424220266343e+02°)
1.02102102102102e+05	(-2.38533630971025e+01dB,-1.14471963404496e+02°)
1.02202202202202e+05	(-2.38056886338552e+01dB,-1.14519837882511e+02°)
1.02302302302302e+05	(-2.37579827838820e+01dB,-1.14567844436636e+02°)
1.02402402402402e+05	(-2.37102452719534e+01dB,-1.14615983809303e+02°)
1.02502502502502e+05	(-2.36624758214645e+01dB,-1.14664256749204e+02°)
1.02602602602603e+05	(-2.36146741544221e+01dB,-1.14712664011358e+02°)
1.02702702702703e+05	(-2.35668399914297e+01dB,-1.14761206357183e+02°)
1.02802802802803e+05	(-2.35189730516735e+01dB,-1.14809884554573e+02°)
1.02902902902903e+05	(-2.34710730529080e+01dB,-1.14858699377967e+02°)
1.03003003003003e+05	(-2.34231397114413e+01dB,-1.14907651608425e+02°)
1.03103103103103e+05	(-2.33751727421206e+01dB,-1.14956742033710e+02°)
1.03203203203203e+05	(-2.33271718583167e+01dB,-1.15005971448358e+02°)
1.03303303303303e+05	(-2.32791367719096e+01dB,-1.15055340653759e+02°)
1.03403403403403e+05	(-2.32310671932730e+01dB,-1.15104850458237e+02°)
1.03503503503503e+05	(-2.31829628312588e+01dB,-1.15154501677133e+02°)
1.03603603603604e+05	(-2.31348233931818e+01dB,-1.15204295132880e+02°)
1.03703703703704e+05	(-2.30866485848039e+01dB,-1.15254231655094e+02°)
1.03803803803804e+05	(-2.30384381103183e+01dB,-1.15304312080652e+02°)
1.03903903903904e+05	(-2.29901916723332e+01dB,-1.15354537253781e+02°)
