Freq.	V(N002,N005)
1.00000000000000e+05	(-2.05163699593984e+01dB,-1.31029091284769e+02°)
1.00100100100100e+05	(-2.04686689078240e+01dB,-1.31123333659881e+02°)
1.00200200200200e+05	(-2.04209536476928e+01dB,-1.31217862436574e+02°)
1.00300300300300e+05	(-2.03732240634301e+01dB,-1.31312678956291e+02°)
1.00400400400400e+05	(-2.03254800396822e+01dB,-1.31407784568306e+02°)
1.00500500500500e+05	(-2.02777214613194e+01dB,-1.31503180629786e+02°)
1.00600600600601e+05	(-2.02299482134387e+01dB,-1.31598868505841e+02°)
1.00700700700701e+05	(-2.01821601813671e+01dB,-1.31694849569578e+02°)
1.00800800800801e+05	(-2.01343572506647e+01dB,-1.31791125202162e+02°)
1.00900900900901e+05	(-2.00865393071275e+01dB,-1.31887696792869e+02°)
1.01001001001001e+05	(-2.00387062367916e+01dB,-1.31984565739142e+02°)
1.01101101101101e+05	(-1.99908579259352e+01dB,-1.32081733446649e+02°)
1.01201201201201e+05	(-1.99429942610833e+01dB,-1.32179201329344e+02°)
1.01301301301301e+05	(-1.98951151290102e+01dB,-1.32276970809518e+02°)
1.01401401401401e+05	(-1.98472204167434e+01dB,-1.32375043317863e+02°)
1.01501501501501e+05	(-1.97993100115672e+01dB,-1.32473420293530e+02°)
1.01601601601602e+05	(-1.97513838010264e+01dB,-1.32572103184187e+02°)
1.01701701701702e+05	(-1.97034416729297e+01dB,-1.32671093446079e+02°)
1.01801801801802e+05	(-1.96554835153540e+01dB,-1.32770392544090e+02°)
1.01901901901902e+05	(-1.96075092166480e+01dB,-1.32870001951801e+02°)
1.02002002002002e+05	(-1.95595186654360e+01dB,-1.32969923151555e+02°)
1.02102102102102e+05	(-1.95115117506222e+01dB,-1.33070157634514e+02°)
1.02202202202202e+05	(-1.94634883613949e+01dB,-1.33170706900725e+02°)
1.02302302302302e+05	(-1.94154483872304e+01dB,-1.33271572459182e+02°)
1.02402402402402e+05	(-1.93673917178972e+01dB,-1.33372755827888e+02°)
1.02502502502502e+05	(-1.93193182434608e+01dB,-1.33474258533918e+02°)
1.02602602602603e+05	(-1.92712278542877e+01dB,-1.33576082113487e+02°)
1.02702702702703e+05	(-1.92231204410500e+01dB,-1.33678228112008e+02°)
1.02802802802803e+05	(-1.91749958947303e+01dB,-1.33780698084166e+02°)
1.02902902902903e+05	(-1.91268541066259e+01dB,-1.33883493593973e+02°)
1.03003003003003e+05	(-1.90786949683540e+01dB,-1.33986616214845e+02°)
1.03103103103103e+05	(-1.90305183718560e+01dB,-1.34090067529661e+02°)
1.03203203203203e+05	(-1.89823242094033e+01dB,-1.34193849130832e+02°)
1.03303303303303e+05	(-1.89341123736015e+01dB,-1.34297962620371e+02°)
1.03403403403403e+05	(-1.88858827573958e+01dB,-1.34402409609957e+02°)
1.03503503503503e+05	(-1.88376352540767e+01dB,-1.34507191721010e+02°)
1.03603603603604e+05	(-1.87893697572845e+01dB,-1.34612310584752e+02°)
1.03703703703704e+05	(-1.87410861610152e+01dB,-1.34717767842285e+02°)
1.03803803803804e+05	(-1.86927843596261e+01dB,-1.34823565144655e+02°)
1.03903903903904e+05	(-1.86444642478409e+01dB,-1.34929704152927e+02°)
1.04004004004004e+05	(-1.85961257207560e+01dB,-1.35036186538253e+02°)
1.04104104104104e+05	(-1.85477686738461e+01dB,-1.35143013981946e+02°)
1.04204204204204e+05	(-1.84993930029697e+01dB,-1.35250188175554e+02°)
1.04304304304304e+05	(-1.84509986043759e+01dB,-1.35357710820930e+02°)
1.04404404404404e+05	(-1.84025853747097e+01dB,-1.35465583630305e+02°)
1.04504504504504e+05	(-1.83541532110189e+01dB,-1.35573808326367e+02°)
1.04604604604605e+05	(-1.83057020107601e+01dB,-1.35682386642331e+02°)
1.04704704704705e+05	(-1.82572316718052e+01dB,-1.35791320322016e+02°)
1.04804804804805e+05	(-1.82087420924481e+01dB,-1.35900611119920e+02°)
1.04904904904905e+05	(-1.81602331714112e+01dB,-1.36010260801300e+02°)
1.05005005005005e+05	(-1.81117048078522e+01dB,-1.36120271142243e+02°)
1.05105105105105e+05	(-1.80631569013713e+01dB,-1.36230643929748e+02°)
1.05205205205205e+05	(-1.80145893520178e+01dB,-1.36341380961804e+02°)
1.05305305305305e+05	(-1.79660020602977e+01dB,-1.36452484047466e+02°)
1.05405405405405e+05	(-1.79173949271806e+01dB,-1.36563955006939e+02°)
1.05505505505505e+05	(-1.78687678541076e+01dB,-1.36675795671651e+02°)
1.05605605605606e+05	(-1.78201207429981e+01dB,-1.36788007884342e+02°)
1.05705705705706e+05	(-1.77714534962583e+01dB,-1.36900593499137e+02°)
1.05805805805806e+05	(-1.77227660167883e+01dB,-1.37013554381634e+02°)
1.05905905905906e+05	(-1.76740582079905e+01dB,-1.37126892408984e+02°)
1.06006006006006e+05	(-1.76253299737774e+01dB,-1.37240609469972e+02°)
1.06106106106106e+05	(-1.75765812185801e+01dB,-1.37354707465105e+02°)
1.06206206206206e+05	(-1.75278118473561e+01dB,-1.37469188306693e+02°)
1.06306306306306e+05	(-1.74790217655986e+01dB,-1.37584053918934e+02°)
1.06406406406406e+05	(-1.74302108793442e+01dB,-1.37699306238001e+02°)
1.06506506506506e+05	(-1.73813790951826e+01dB,-1.37814947212127e+02°)
1.06606606606607e+05	(-1.73325263202647e+01dB,-1.37930978801693e+02°)
1.06706706706707e+05	(-1.72836524623124e+01dB,-1.38047402979314e+02°)
1.06806806806807e+05	(-1.72347574296272e+01dB,-1.38164221729927e+02°)
1.06906906906907e+05	(-1.71858411311001e+01dB,-1.38281437050881e+02°)
1.07007007007007e+05	(-1.71369034762209e+01dB,-1.38399050952025e+02°)
1.07107107107107e+05	(-1.70879443750879e+01dB,-1.38517065455799e+02°)
1.07207207207207e+05	(-1.70389637384177e+01dB,-1.38635482597325e+02°)
1.07307307307307e+05	(-1.69899614775556e+01dB,-1.38754304424496e+02°)
1.07407407407407e+05	(-1.69409375044855e+01dB,-1.38873532998071e+02°)
1.07507507507507e+05	(-1.68918917318402e+01dB,-1.38993170391765e+02°)
1.07607607607607e+05	(-1.68428240729121e+01dB,-1.39113218692344e+02°)
1.07707707707708e+05	(-1.67937344416640e+01dB,-1.39233679999720e+02°)
1.07807807807808e+05	(-1.67446227527400e+01dB,-1.39354556427040e+02°)
1.07907907907908e+05	(-1.66954889214763e+01dB,-1.39475850100790e+02°)
1.08008008008008e+05	(-1.66463328639128e+01dB,-1.39597563160884e+02°)
1.08108108108108e+05	(-1.65971544968044e+01dB,-1.39719697760762e+02°)
1.08208208208208e+05	(-1.65479537376326e+01dB,-1.39842256067491e+02°)
1.08308308308308e+05	(-1.64987305046176e+01dB,-1.39965240261858e+02°)
1.08408408408408e+05	(-1.64494847167301e+01dB,-1.40088652538474e+02°)
1.08508508508508e+05	(-1.64002162937035e+01dB,-1.40212495105869e+02°)
1.08608608608608e+05	(-1.63509251560466e+01dB,-1.40336770186592e+02°)
1.08708708708709e+05	(-1.63016112250560e+01dB,-1.40461480017316e+02°)
1.08808808808809e+05	(-1.62522744228291e+01dB,-1.40586626848937e+02°)
1.08908908908909e+05	(-1.62029146722771e+01dB,-1.40712212946675e+02°)
1.09009009009009e+05	(-1.61535318971383e+01dB,-1.40838240590178e+02°)
1.09109109109109e+05	(-1.61041260219916e+01dB,-1.40964712073627e+02°)
1.09209209209209e+05	(-1.60546969722702e+01dB,-1.41091629705837e+02°)
1.09309309309309e+05	(-1.60052446742758e+01dB,-1.41218995810367e+02°)
1.09409409409409e+05	(-1.59557690551922e+01dB,-1.41346812725619e+02°)
1.09509509509509e+05	(-1.59062700431004e+01dB,-1.41475082804951e+02°)
1.09609609609609e+05	(-1.58567475669928e+01dB,-1.41603808416780e+02°)
1.09709709709710e+05	(-1.58072015567883e+01dB,-1.41732991944692e+02°)
1.09809809809810e+05	(-1.57576319433472e+01dB,-1.41862635787548e+02°)
1.09909909909910e+05	(-1.57080386584870e+01dB,-1.41992742359595e+02°)
1.10010010010010e+05	(-1.56584216349976e+01dB,-1.42123314090578e+02°)
1.10110110110110e+05	(-1.56087808066574e+01dB,-1.42254353425846e+02°)
1.10210210210210e+05	(-1.55591161082494e+01dB,-1.42385862826468e+02°)
1.10310310310310e+05	(-1.55094274755778e+01dB,-1.42517844769339e+02°)
