time	I(Ls1)	I(Ls2)
2.217035814174492e-06	2.675197e-01	4.599814e-01
2.249364578770002e-06	3.937658e-01	5.466683e-01
2.281693343365512e-06	5.225471e-01	6.356540e-01
2.314022107961022e-06	6.538634e-01	7.269385e-01
2.346350872556531e-06	7.877148e-01	8.205218e-01
2.378679637152041e-06	9.241014e-01	9.164038e-01
2.437251065723122e-06	1.178319e+00	1.096566e+00
2.495822494294202e-06	1.435328e+00	1.279814e+00
2.554393922865283e-06	1.695129e+00	1.466148e+00
2.612965351436364e-06	1.957721e+00	1.655568e+00
2.671536780007445e-06	2.223104e+00	1.848074e+00
2.730108208578526e-06	2.491279e+00	2.043666e+00
2.788679637149606e-06	2.762245e+00	2.242344e+00
2.817251065720865e-06	2.892977e+00	2.338360e+00
2.845822494292124e-06	3.022885e+00	2.433873e+00
2.874393922863383e-06	3.151969e+00	2.528886e+00
2.902965351434642e-06	3.280228e+00	2.623397e+00
2.931536780005901e-06	3.407663e+00	2.717407e+00
2.960108208577160e-06	3.534275e+00	2.810915e+00
2.988679637148418e-06	3.660062e+00	2.903922e+00
2.998679637148359e-06	3.703652e+00	2.936153e+00
3.008679637148300e-06	3.747071e+00	2.968265e+00
3.028679637148181e-06	3.833376e+00	3.032108e+00
3.052965351433751e-06	3.937377e+00	3.109089e+00
3.077251065719321e-06	4.039951e+00	3.185004e+00
3.101536780004891e-06	4.141097e+00	3.259853e+00
3.125822494290461e-06	4.240816e+00	3.333636e+00
3.150108208576031e-06	4.339108e+00	3.406353e+00
3.174393922861601e-06	4.435972e+00	3.478005e+00
3.198679637147171e-06	4.531408e+00	3.548591e+00
3.215822494289927e-06	4.597653e+00	3.597551e+00
3.232965351432682e-06	4.662925e+00	3.645756e+00
3.250108208575437e-06	4.727224e+00	3.693208e+00
3.267251065718193e-06	4.790551e+00	3.739905e+00
3.284393922860948e-06	4.852904e+00	3.785848e+00
3.301536780003703e-06	4.914286e+00	3.831037e+00
3.318679637146459e-06	4.974694e+00	3.875472e+00
3.338679637146340e-06	5.043719e+00	3.926168e+00
3.348679637146280e-06	5.077667e+00	3.951073e+00
3.358679637146221e-06	5.111230e+00	3.975676e+00
3.378679637146102e-06	5.177182e+00	4.023955e+00
3.408679637145924e-06	5.273085e+00	4.093983e+00
3.432965351431494e-06	5.348161e+00	4.148657e+00
3.457251065717064e-06	5.420499e+00	4.201141e+00
3.481536780002634e-06	5.490098e+00	4.251435e+00
3.505822494288204e-06	5.556958e+00	4.299538e+00
3.530108208573775e-06	5.621079e+00	4.345451e+00
3.554393922859345e-06	5.682461e+00	4.389174e+00
3.578679637144914e-06	5.741104e+00	4.430707e+00
3.588679637144855e-06	5.764307e+00	4.447043e+00
3.618679637144677e-06	5.830819e+00	4.493556e+00
3.660108208573002e-06	5.915561e+00	4.552093e+00
3.701536780001328e-06	5.990185e+00	4.602391e+00
3.742965351429653e-06	6.054690e+00	4.644451e+00
3.784393922857979e-06	6.109076e+00	4.678272e+00
3.825822494286304e-06	6.153343e+00	4.703855e+00
3.867251065714629e-06	6.187492e+00	4.721200e+00
3.908679637142955e-06	6.211523e+00	4.730307e+00
3.977251065713976e-06	6.227115e+00	4.725594e+00
4.045822494284998e-06	6.210226e+00	4.694132e+00
4.114393922856019e-06	6.160854e+00	4.635919e+00
4.182965351427040e-06	6.078999e+00	4.550956e+00
4.251536779998062e-06	5.964662e+00	4.439242e+00
4.320108208569083e-06	5.817842e+00	4.300778e+00
4.388679637140104e-06	5.638540e+00	4.135564e+00
4.440108208568370e-06	5.481034e+00	3.992576e+00
4.491536779996636e-06	5.305610e+00	3.834821e+00
4.542965351424902e-06	5.112271e+00	3.662300e+00
4.594393922853168e-06	4.901015e+00	3.475013e+00
4.645822494281434e-06	4.671843e+00	3.272960e+00
4.697251065709700e-06	4.424754e+00	3.056141e+00
4.748679637137966e-06	4.159749e+00	2.824555e+00
4.758679637137907e-06	4.106425e+00	2.778057e+00
4.768679637137847e-06	4.052476e+00	2.731045e+00
4.778679637137788e-06	3.997906e+00	2.683524e+00
4.798679637137669e-06	3.886917e+00	2.586965e+00
4.828679637137491e-06	3.715868e+00	2.438387e+00
4.850108208565935e-06	3.590275e+00	2.329458e+00
4.871536779994379e-06	3.462096e+00	2.218420e+00
4.892965351422823e-06	3.331330e+00	2.105274e+00
4.914393922851268e-06	3.197978e+00	1.990019e+00
4.935822494279712e-06	3.062039e+00	1.872656e+00
4.957251065708156e-06	2.923514e+00	1.753184e+00
4.978679637136600e-06	2.782402e+00	1.631604e+00
5.007251065707859e-06	2.590320e+00	1.466294e+00
5.035822494279118e-06	2.394422e+00	1.297918e+00
5.064393922850377e-06	2.194707e+00	1.126478e+00
5.092965351421636e-06	1.991177e+00	9.519735e-01
5.121536779992895e-06	1.783831e+00	7.744037e-01
5.150108208564154e-06	1.572669e+00	5.937691e-01
5.178679637135412e-06	1.357692e+00	4.100695e-01
5.185822494278227e-06	1.303510e+00	3.638048e-01
5.192965351421042e-06	1.249131e+00	3.173855e-01
5.200108208563857e-06	1.194555e+00	2.708117e-01
5.207251065706671e-06	1.139781e+00	2.240832e-01
5.214393922849486e-06	1.084810e+00	1.772002e-01
5.221536779992300e-06	1.029643e+00	1.301626e-01
5.228679637135115e-06	9.742774e-01	8.297047e-02
5.238679637135056e-06	8.966525e-01	2.058110e-02
5.244313325075039e-06	8.530297e-01	-8.587343e-03
5.244323819333062e-06	8.529490e-01	-8.623262e-03
5.244386784881636e-06	8.524673e-01	-8.771375e-03
5.258767094342274e-06	7.419956e-01	-4.293649e-02
5.273147403802912e-06	6.308667e-01	-7.766053e-02
5.287527713263551e-06	5.190806e-01	-1.129435e-01
5.301908022724190e-06	4.066372e-01	-1.487854e-01
5.316288332184828e-06	2.935366e-01	-1.851863e-01
5.330668641645467e-06	1.797787e-01	-2.221461e-01
5.345048951106105e-06	6.536366e-02	-2.596648e-01
5.351625933720230e-06	1.573339e-02	-2.768685e-01
5.356047318758267e-06	-1.291507e-02	-2.883056e-01
5.356055285579697e-06	-1.295302e-02	-2.883257e-01
5.356166821081235e-06	-1.336468e-02	-2.886030e-01
5.387050904129982e-06	-1.290263e-01	-3.668837e-01
5.417934987178729e-06	-2.470306e-01	-4.472845e-01
5.448819070227476e-06	-3.673775e-01	-5.298055e-01
5.479703153276224e-06	-4.900671e-01	-6.144467e-01
5.510587236324970e-06	-6.150993e-01	-7.012080e-01
5.541471319373718e-06	-7.424742e-01	-7.900894e-01
5.572355402422464e-06	-8.721918e-01	-8.810910e-01
5.629498259564983e-06	-1.119054e+00	-1.055651e+00
5.686641116707500e-06	-1.368884e+00	-1.233400e+00
5.743783973850018e-06	-1.621683e+00	-1.414339e+00
5.800926830992535e-06	-1.877449e+00	-1.598468e+00
5.858069688135053e-06	-2.136183e+00	-1.785786e+00
5.915212545277572e-06	-2.397886e+00	-1.976294e+00
5.972355402420089e-06	-2.662556e+00	-2.169992e+00
6.003783973848474e-06	-2.806867e+00	-2.275818e+00
6.035212545276858e-06	-2.950253e+00	-2.381098e+00
6.066641116705243e-06	-3.092712e+00	-2.485830e+00
6.098069688133628e-06	-3.234247e+00	-2.590016e+00
6.129498259562013e-06	-3.374855e+00	-2.693654e+00
6.160926830990397e-06	-3.514538e+00	-2.796745e+00
6.192355402418782e-06	-3.653295e+00	-2.899289e+00
6.202355402418723e-06	-3.696963e+00	-2.931560e+00
6.212355402418664e-06	-3.740461e+00	-2.963712e+00
6.232355402418545e-06	-3.826927e+00	-3.027639e+00
6.256641116704115e-06	-3.931130e+00	-3.104725e+00
6.280926830989685e-06	-4.033910e+00	-3.180750e+00
6.305212545275255e-06	-4.135268e+00	-3.255714e+00
6.329498259560825e-06	-4.235204e+00	-3.329617e+00
6.353783973846395e-06	-4.333718e+00	-3.402458e+00
6.378069688131965e-06	-4.430810e+00	-3.474238e+00
6.402355402417535e-06	-4.526480e+00	-3.544956e+00
6.413783973846039e-06	-4.570824e+00	-3.577711e+00
6.425212545274542e-06	-4.614753e+00	-3.610146e+00
6.436641116703046e-06	-4.658267e+00	-3.642259e+00
6.448069688131550e-06	-4.701365e+00	-3.674052e+00
6.459498259560053e-06	-4.744047e+00	-3.705524e+00
6.470926830988556e-06	-4.786314e+00	-3.736675e+00
6.482355402417060e-06	-4.828166e+00	-3.767505e+00
6.516641116702571e-06	-4.951508e+00	-3.858314e+00
6.550926830988081e-06	-5.070012e+00	-3.945293e+00
6.585212545273592e-06	-5.183678e+00	-4.028441e+00
6.619498259559103e-06	-5.292506e+00	-4.107760e+00
6.653783973844614e-06	-5.396496e+00	-4.183249e+00
6.688069688130124e-06	-5.495648e+00	-4.254908e+00
6.722355402415635e-06	-5.589962e+00	-4.322738e+00
6.738069688129827e-06	-5.631118e+00	-4.352155e+00
6.753783973844020e-06	-5.671027e+00	-4.380569e+00
6.769498259558212e-06	-5.709689e+00	-4.407979e+00
6.785212545272404e-06	-5.747104e+00	-4.434385e+00
6.800926830986597e-06	-5.783272e+00	-4.459788e+00
6.816641116700789e-06	-5.818193e+00	-4.484187e+00
6.832355402414982e-06	-5.851867e+00	-4.507583e+00
6.849498259557737e-06	-5.887108e+00	-4.531898e+00
6.866641116700492e-06	-5.920707e+00	-4.554882e+00
6.883783973843248e-06	-5.952664e+00	-4.576534e+00
6.900926830986003e-06	-5.982978e+00	-4.596854e+00
6.918069688128758e-06	-6.011650e+00	-4.615843e+00
6.935212545271513e-06	-6.038680e+00	-4.633500e+00
6.952355402414269e-06	-6.064068e+00	-4.649826e+00
6.982355402414091e-06	-6.104493e+00	-4.675147e+00
7.012355402413913e-06	-6.139310e+00	-4.695885e+00
7.042355402413734e-06	-6.168519e+00	-4.712041e+00
7.072355402413556e-06	-6.192120e+00	-4.723615e+00
7.102355402413378e-06	-6.210113e+00	-4.730605e+00
7.132355402413200e-06	-6.222498e+00	-4.733013e+00
7.162355402413022e-06	-6.229274e+00	-4.730839e+00
7.220926830984102e-06	-6.225694e+00	-4.712828e+00
7.279498259555184e-06	-6.198303e+00	-4.675208e+00
7.338069688126264e-06	-6.147101e+00	-4.617976e+00
7.396641116697345e-06	-6.072088e+00	-4.541135e+00
7.455212545268426e-06	-5.973264e+00	-4.444683e+00
7.513783973839506e-06	-5.850630e+00	-4.328620e+00
7.572355402410587e-06	-5.704184e+00	-4.192947e+00
7.600926830981846e-06	-5.623643e+00	-4.119234e+00
7.629498259553104e-06	-5.537416e+00	-4.040830e+00
7.658069688124363e-06	-5.445502e+00	-3.957735e+00
7.686641116695623e-06	-5.347902e+00	-3.869950e+00
7.715212545266882e-06	-5.244615e+00	-3.777473e+00
7.743783973838140e-06	-5.135642e+00	-3.680306e+00
7.772355402409399e-06	-5.020982e+00	-3.578448e+00
7.782355402409340e-06	-4.979564e+00	-3.541737e+00
7.792355402409280e-06	-4.937467e+00	-3.504467e+00
7.802355402409221e-06	-4.894693e+00	-3.466639e+00
7.812355402409162e-06	-4.851245e+00	-3.428257e+00
7.822355402409102e-06	-4.807126e+00	-3.389321e+00
7.832355402409043e-06	-4.762337e+00	-3.349833e+00
7.852355402408924e-06	-4.670762e+00	-3.269215e+00
7.882355402408746e-06	-4.528445e+00	-3.144210e+00
7.912355402408568e-06	-4.380254e+00	-3.014374e+00
7.932355402408449e-06	-4.278238e+00	-2.925169e+00
7.952355402408330e-06	-4.173674e+00	-2.833871e+00
7.962355402408271e-06	-4.120446e+00	-2.787446e+00
7.972355402408211e-06	-4.066591e+00	-2.740506e+00
