time	I(Ls1)	I(Ls2)
2.012322122846430e-06	2.765365e-01	2.765365e-01
2.022322122846370e-06	2.978053e-01	2.978053e-01
2.032322122846311e-06	3.192871e-01	3.192871e-01
2.042322122846251e-06	3.409799e-01	3.409799e-01
2.052322122846192e-06	3.628818e-01	3.628818e-01
2.062322122846133e-06	3.849909e-01	3.849909e-01
2.072322122846073e-06	4.073051e-01	4.073051e-01
2.082322122846014e-06	4.298223e-01	4.298223e-01
2.092322122845955e-06	4.525403e-01	4.525403e-01
2.102322122845895e-06	4.754570e-01	4.754570e-01
2.112322122845836e-06	4.985700e-01	4.985700e-01
2.122322122845776e-06	5.218771e-01	5.218771e-01
2.132322122845717e-06	5.453760e-01	5.453760e-01
2.142322122845658e-06	5.690641e-01	5.690641e-01
2.152322122845598e-06	5.929391e-01	5.929391e-01
2.162322122845539e-06	6.169986e-01	6.169986e-01
2.172322122845479e-06	6.412396e-01	6.412396e-01
2.182322122845420e-06	6.656600e-01	6.656600e-01
2.192322122845361e-06	6.902568e-01	6.902568e-01
2.202322122845301e-06	7.150276e-01	7.150276e-01
2.212322122845242e-06	7.399694e-01	7.399694e-01
2.222322122845182e-06	7.650794e-01	7.650794e-01
2.242322122845064e-06	8.157930e-01	8.157930e-01
2.262322122844945e-06	8.671452e-01	8.671452e-01
2.282322122844826e-06	9.191117e-01	9.191117e-01
2.302322122844707e-06	9.716679e-01	9.716679e-01
2.332322122844529e-06	1.051552e+00	1.051552e+00
2.362322122844351e-06	1.132617e+00	1.132617e+00
2.392322122844173e-06	1.214770e+00	1.214770e+00
2.439464979986750e-06	1.346910e+00	1.346910e+00
2.486607837129327e-06	1.480054e+00	1.480054e+00
2.533750694271905e-06	1.614202e+00	1.614202e+00
2.580893551414482e-06	1.749354e+00	1.749354e+00
2.628036408557059e-06	1.885510e+00	1.885510e+00
2.675179265699636e-06	2.022669e+00	2.022669e+00
2.722322122842213e-06	2.160831e+00	2.160831e+00
2.738036408556406e-06	2.206453e+00	2.206453e+00
2.753750694270598e-06	2.251945e+00	2.251945e+00
2.769464979984790e-06	2.297308e+00	2.297308e+00
2.785179265698983e-06	2.342541e+00	2.342541e+00
2.800893551413175e-06	2.387645e+00	2.387645e+00
2.816607837127367e-06	2.432619e+00	2.432619e+00
2.832322122841560e-06	2.477464e+00	2.477464e+00
2.852322122841441e-06	2.534198e+00	2.534198e+00
2.882322122841263e-06	2.618955e+00	2.618955e+00
2.912322122841085e-06	2.702460e+00	2.702460e+00
2.942322122840907e-06	2.784713e+00	2.784713e+00
2.972322122840728e-06	2.865713e+00	2.865713e+00
3.002322122840550e-06	2.945461e+00	2.945461e+00
3.032322122840372e-06	3.023957e+00	3.023957e+00
3.062322122840194e-06	3.101200e+00	3.101200e+00
3.082322122840075e-06	3.151628e+00	3.151628e+00
3.102322122839956e-06	3.201158e+00	3.201158e+00
3.122322122839838e-06	3.249791e+00	3.249791e+00
3.142322122839719e-06	3.297525e+00	3.297525e+00
3.162322122839600e-06	3.344362e+00	3.344362e+00
3.182322122839481e-06	3.390301e+00	3.390301e+00
3.202322122839362e-06	3.435343e+00	3.435343e+00
3.225179265696370e-06	3.485580e+00	3.485580e+00
3.248036408553377e-06	3.534275e+00	3.534275e+00
3.270893551410384e-06	3.581428e+00	3.581428e+00
3.293750694267391e-06	3.627038e+00	3.627038e+00
3.316607837124398e-06	3.671107e+00	3.671107e+00
3.339464979981405e-06	3.713633e+00	3.713633e+00
3.362322122838412e-06	3.754617e+00	3.754617e+00
3.372322122838353e-06	3.771947e+00	3.771947e+00
3.382322122838293e-06	3.788942e+00	3.788942e+00
3.402322122838175e-06	3.821907e+00	3.821907e+00
3.435179265695122e-06	3.873367e+00	3.873367e+00
3.468036408552070e-06	3.920566e+00	3.920566e+00
3.500893551409018e-06	3.963503e+00	3.963503e+00
3.533750694265966e-06	4.002178e+00	4.002178e+00
3.566607837122913e-06	4.036592e+00	4.036592e+00
3.599464979979861e-06	4.066744e+00	4.066744e+00
3.632322122836809e-06	4.092635e+00	4.092635e+00
3.643750694265312e-06	4.100437e+00	4.100437e+00
3.655179265693816e-06	4.107651e+00	4.107651e+00
3.666607837122319e-06	4.114279e+00	4.114279e+00
3.678036408550823e-06	4.120319e+00	4.120319e+00
3.689464979979326e-06	4.125771e+00	4.125771e+00
3.700893551407830e-06	4.130637e+00	4.130637e+00
3.712322122836334e-06	4.134915e+00	4.134915e+00
3.758036408550348e-06	4.146416e+00	4.146416e+00
3.803750694264362e-06	4.147466e+00	4.147466e+00
3.849464979978377e-06	4.138065e+00	4.138065e+00
3.895179265692391e-06	4.118215e+00	4.118215e+00
3.940893551406405e-06	4.087915e+00	4.087915e+00
3.986607837120419e-06	4.047164e+00	4.047164e+00
4.032322122834433e-06	3.995963e+00	3.995963e+00
4.099464979976892e-06	3.899773e+00	3.899773e+00
4.166607837119350e-06	3.779959e+00	3.779959e+00
4.233750694261809e-06	3.636522e+00	3.636522e+00
4.300893551404267e-06	3.469461e+00	3.469461e+00
4.368036408546725e-06	3.278775e+00	3.278775e+00
4.435179265689184e-06	3.064466e+00	3.064466e+00
4.502322122831642e-06	2.826533e+00	2.826533e+00
4.532322122831464e-06	2.713387e+00	2.713387e+00
4.552322122831345e-06	2.635545e+00	2.635545e+00
4.562322122831286e-06	2.595910e+00	2.595910e+00
4.572322122831226e-06	2.555802e+00	2.555802e+00
4.582322122831167e-06	2.515225e+00	2.515225e+00
4.592322122831108e-06	2.474181e+00	2.474181e+00
