time	I(Ls1)	I(Ls2)
2.342529520008985e-06	3.576171e+00	1.370049e+00
2.381100948580185e-06	3.765841e+00	1.441642e+00
2.419672377151384e-06	3.954599e+00	1.514341e+00
2.439672377151265e-06	4.051187e+00	1.551915e+00
2.449672377151206e-06	4.099247e+00	1.570728e+00
2.459672377151147e-06	4.147142e+00	1.589551e+00
2.469672377151087e-06	4.194867e+00	1.608382e+00
2.479672377151028e-06	4.242414e+00	1.627216e+00
2.499672377150909e-06	4.336951e+00	1.664877e+00
2.529672377150731e-06	4.477265e+00	1.721290e+00
2.559672377150553e-06	4.615636e+00	1.777507e+00
2.601100948578878e-06	4.804334e+00	1.855381e+00
2.642529520007204e-06	4.987401e+00	1.931589e+00
2.683958091435529e-06	5.164839e+00	2.006132e+00
2.725386662863854e-06	5.336645e+00	2.079010e+00
2.766815234292180e-06	5.502822e+00	2.150223e+00
2.808243805720505e-06	5.663368e+00	2.219771e+00
2.849672377148831e-06	5.818284e+00	2.287654e+00
2.895386662862845e-06	5.980970e+00	2.359490e+00
2.941100948576859e-06	6.132985e+00	2.426572e+00
2.986815234290873e-06	6.274330e+00	2.488900e+00
3.032529520004888e-06	6.405003e+00	2.546474e+00
3.078243805718902e-06	6.525005e+00	2.599295e+00
3.123958091432916e-06	6.634337e+00	2.647362e+00
3.169672377146930e-06	6.732997e+00	2.690676e+00
3.199672377146752e-06	6.790173e+00	2.715186e+00
3.209672377146693e-06	6.808022e+00	2.722758e+00
3.239672377146514e-06	6.857871e+00	2.743628e+00
3.253958091432144e-06	6.879665e+00	2.752597e+00
3.268243805717773e-06	6.900138e+00	2.760888e+00
3.282529520003403e-06	6.919291e+00	2.768500e+00
3.296815234289032e-06	6.937123e+00	2.775434e+00
3.311100948574662e-06	6.953634e+00	2.781689e+00
3.325386662860291e-06	6.968825e+00	2.787266e+00
3.339672377145921e-06	6.982695e+00	2.792165e+00
3.355386662860113e-06	6.996380e+00	2.796733e+00
3.371100948574305e-06	7.008372e+00	2.800401e+00
3.386815234288498e-06	7.018669e+00	2.803169e+00
3.402529520002690e-06	7.027273e+00	2.805038e+00
3.418243805716883e-06	7.034182e+00	2.806006e+00
3.433958091431075e-06	7.039397e+00	2.806074e+00
3.449672377145267e-06	7.042917e+00	2.805243e+00
3.485386662859341e-06	7.044606e+00	2.800018e+00
3.521100948573415e-06	7.036943e+00	2.789608e+00
3.556815234287488e-06	7.019926e+00	2.774015e+00
3.592529520001562e-06	6.993556e+00	2.753238e+00
3.628243805715636e-06	6.957834e+00	2.727277e+00
3.663958091429709e-06	6.912759e+00	2.696133e+00
3.699672377143783e-06	6.858331e+00	2.659804e+00
3.768243805714804e-06	6.725704e+00	2.574210e+00
3.836815234285826e-06	6.558105e+00	2.468303e+00
3.905386662856847e-06	6.355534e+00	2.342083e+00
3.973958091427868e-06	6.117991e+00	2.195549e+00
4.042529519998890e-06	5.845476e+00	2.028702e+00
4.111100948569911e-06	5.537989e+00	1.841542e+00
4.179672377140932e-06	5.195530e+00	1.634068e+00
4.209672377140754e-06	5.035959e+00	1.537476e+00
4.239672377140576e-06	4.870260e+00	1.437287e+00
4.259672377140457e-06	4.756443e+00	1.368528e+00
4.269672377140397e-06	4.698540e+00	1.333566e+00
4.279672377140338e-06	4.639981e+00	1.298219e+00
4.289672377140279e-06	4.580770e+00	1.262490e+00
4.309672377140160e-06	4.460409e+00	1.189897e+00
4.339672377139982e-06	4.275090e+00	1.078214e+00
4.373958091425492e-06	4.055837e+00	9.461759e-01
4.408243805711003e-06	3.830031e+00	8.103676e-01
4.442529519996513e-06	3.597672e+00	6.707894e-01
4.476815234282025e-06	3.358759e+00	5.274411e-01
4.511100948567535e-06	3.113293e+00	3.803227e-01
4.545386662853046e-06	2.861273e+00	2.294344e-01
4.579672377138556e-06	2.602700e+00	7.477597e-02
4.593422377138475e-06	2.497754e+00	1.208716e-02
4.595596785303500e-06	2.481064e+00	2.124231e-03
4.595775932228442e-06	2.479693e+00	1.327989e-03
4.596134226078326e-06	2.476987e+00	-8.982771e-05
