Freq.	V(N002,N005)
1.00000000000000e+05	(-1.84305079006690e+01dB,-1.46576443909584e+02°)
1.00100100100100e+05	(-1.83859512350619e+01dB,-1.46709179793267e+02°)
1.00200200200200e+05	(-1.83414095044299e+01dB,-1.46842246948581e+02°)
1.00300300300300e+05	(-1.82968827682246e+01dB,-1.46975646011230e+02°)
1.00400400400400e+05	(-1.82523710866064e+01dB,-1.47109377613642e+02°)
1.00500500500500e+05	(-1.82078745204403e+01dB,-1.47243442384921e+02°)
1.00600600600601e+05	(-1.81633931312907e+01dB,-1.47377840950790e+02°)
1.00700700700701e+05	(-1.81189269814168e+01dB,-1.47512573933549e+02°)
1.00800800800801e+05	(-1.80744761337678e+01dB,-1.47647641952018e+02°)
1.00900900900901e+05	(-1.80300406519777e+01dB,-1.47783045621490e+02°)
1.01001001001001e+05	(-1.79856206003603e+01dB,-1.47918785553678e+02°)
1.01101101101101e+05	(-1.79412160439035e+01dB,-1.48054862356668e+02°)
1.01201201201201e+05	(-1.78968270482645e+01dB,-1.48191276634864e+02°)
1.01301301301301e+05	(-1.78524536797636e+01dB,-1.48328028988942e+02°)
1.01401401401401e+05	(-1.78080960053791e+01dB,-1.48465120015795e+02°)
1.01501501501501e+05	(-1.77637540927409e+01dB,-1.48602550308485e+02°)
1.01601601601602e+05	(-1.77194280101250e+01dB,-1.48740320456191e+02°)
1.01701701701702e+05	(-1.76751178264472e+01dB,-1.48878431044161e+02°)
1.01801801801802e+05	(-1.76308236112570e+01dB,-1.49016882653657e+02°)
1.01901901901902e+05	(-1.75865454347311e+01dB,-1.49155675861910e+02°)
1.02002002002002e+05	(-1.75422833676669e+01dB,-1.49294811242063e+02°)
1.02102102102102e+05	(-1.74980374814761e+01dB,-1.49434289363127e+02°)
1.02202202202202e+05	(-1.74538078481776e+01dB,-1.49574110789927e+02°)
1.02302302302302e+05	(-1.74095945403908e+01dB,-1.49714276083051e+02°)
1.02402402402402e+05	(-1.73653976313285e+01dB,-1.49854785798802e+02°)
1.02502502502502e+05	(-1.73212171947895e+01dB,-1.49995640489149e+02°)
1.02602602602603e+05	(-1.72770533051516e+01dB,-1.50136840701673e+02°)
1.02702702702703e+05	(-1.72329060373637e+01dB,-1.50278386979522e+02°)
1.02802802802803e+05	(-1.71887754669384e+01dB,-1.50420279861356e+02°)
1.02902902902903e+05	(-1.71446616699442e+01dB,-1.50562519881303e+02°)
1.03003003003003e+05	(-1.71005647229975e+01dB,-1.50705107568907e+02°)
1.03103103103103e+05	(-1.70564847032543e+01dB,-1.50848043449078e+02°)
1.03203203203203e+05	(-1.70124216884022e+01dB,-1.50991328042045e+02°)
1.03303303303303e+05	(-1.69683757566521e+01dB,-1.51134961863306e+02°)
1.03403403403403e+05	(-1.69243469867292e+01dB,-1.51278945423582e+02°)
1.03503503503503e+05	(-1.68803354578645e+01dB,-1.51423279228766e+02°)
1.03603603603604e+05	(-1.68363412497861e+01dB,-1.51567963779875e+02°)
1.03703703703704e+05	(-1.67923644427098e+01dB,-1.51712999573006e+02°)
1.03803803803804e+05	(-1.67484051173303e+01dB,-1.51858387099284e+02°)
1.03903903903904e+05	(-1.67044633548114e+01dB,-1.52004126844818e+02°)
1.04004004004004e+05	(-1.66605392367769e+01dB,-1.52150219290655e+02°)
1.04104104104104e+05	(-1.66166328453005e+01dB,-1.52296664912730e+02°)
1.04204204204204e+05	(-1.65727442628963e+01dB,-1.52443464181823e+02°)
1.04304304304304e+05	(-1.65288735725086e+01dB,-1.52590617563513e+02°)
1.04404404404404e+05	(-1.64850208575018e+01dB,-1.52738125518134e+02°)
1.04504504504504e+05	(-1.64411862016498e+01dB,-1.52885988500725e+02°)
1.04604604604605e+05	(-1.63973696891261e+01dB,-1.53034206960993e+02°)
1.04704704704705e+05	(-1.63535714044923e+01dB,-1.53182781343263e+02°)
1.04804804804805e+05	(-1.63097914326879e+01dB,-1.53331712086438e+02°)
1.04904904904905e+05	(-1.62660298590190e+01dB,-1.53480999623955e+02°)
1.05005005005005e+05	(-1.62222867691469e+01dB,-1.53630644383742e+02°)
1.05105105105105e+05	(-1.61785622490774e+01dB,-1.53780646788178e+02°)
1.05205205205205e+05	(-1.61348563851484e+01dB,-1.53931007254050e+02°)
1.05305305305305e+05	(-1.60911692640188e+01dB,-1.54081726192509e+02°)
1.05405405405405e+05	(-1.60475009726566e+01dB,-1.54232804009039e+02°)
1.05505505505505e+05	(-1.60038515983263e+01dB,-1.54384241103407e+02°)
1.05605605605606e+05	(-1.59602212285774e+01dB,-1.54536037869630e+02°)
1.05705705705706e+05	(-1.59166099512314e+01dB,-1.54688194695936e+02°)
1.05805805805806e+05	(-1.58730178543695e+01dB,-1.54840711964723e+02°)
1.05905905905906e+05	(-1.58294450263198e+01dB,-1.54993590052526e+02°)
1.06006006006006e+05	(-1.57858915556443e+01dB,-1.55146829329978e+02°)
1.06106106106106e+05	(-1.57423575311258e+01dB,-1.55300430161777e+02°)
1.06206206206206e+05	(-1.56988430417548e+01dB,-1.55454392906646e+02°)
1.06306306306306e+05	(-1.56553481767156e+01dB,-1.55608717917307e+02°)
1.06406406406406e+05	(-1.56118730253731e+01dB,-1.55763405540437e+02°)
1.06506506506506e+05	(-1.55684176772586e+01dB,-1.55918456116646e+02°)
